dimensions,fuzzy_sets,window,rmse,nrmse,mape,smape,mae
3,50,0,0.0725966154654178,0.016030402244381837,5.21562217869368,2.4386933366946146,0.04601673441837766
3,50,16796,0.09312540693063674,0.011855708734598576,66.46374275572013,5.844726433853651,0.07249094656732845
3,50,33592,0.06973784952677814,0.0177649647481775,9.847299137401357,4.442846921044443,0.047725399858553993
3,50,50388,0.06242182209021044,0.010293836096670587,2.9546319112856825,1.4970210018591399,0.03003724808277557
3,50,67184,0.0648979923104333,0.010018832948998595,9.519231881967613,4.3754927415752825,0.05217911604557875
3,50,83980,0.06273950369829868,0.017244496973085888,10.400418769923398,4.081326214132309,0.03722794351433329
3,50,100776,0.10673316471846009,0.018589770045886977,7.484415078090313,3.4979690880462924,0.06400574723177638
3,50,117572,0.04937678554709184,0.00808351195771397,4.26495741091387,2.1355804233259033,0.028009639592352944
3,50,134368,0.0595391091532324,0.012517200895055232,12.090456866552934,5.367857217472935,0.04417653256745941
3,50,151164,0.07148432838657028,0.006123807563656147,17.4929479990294,4.759200584904394,0.0515621208438302
3,50,167960,0.10876208675267399,0.013791823056174088,6.762605095623517,3.1016078675985224,0.04050779550788236
3,50,184756,0.10049332810071404,0.01544364280566059,46.03761399175224,9.553463301349078,0.06392692572068168
3,50,201552,0.028838533311621114,0.004871031032725305,14.26768868566792,4.02923085961741,0.014900479577460704
3,50,218348,0.041145860976842544,0.012509636194082662,47.01484132871221,3.6653039145810538,0.02022856486053523
3,50,235144,0.08365148746029742,0.01259343729579869,26.383006500711165,7.250096640640784,0.042287267323903595
3,50,251940,0.08665374002688978,0.012031537515933187,9.66353049765975,3.4032618248558673,0.03245606564368478
3,50,268736,0.23885157662827614,0.019970366682129724,30.405687070183983,5.471633966733156,0.09015471080584564
3,50,285532,0.15825001081138734,0.013504769197727435,24.65421609684269,7.276323675059724,0.08180889216974413
3,50,302328,0.10191853699703318,0.011765351857067528,14.787239401137795,5.965096181179186,0.06398317796190112
3,50,319124,0.20765458472802953,0.018541112143948605,8.292001016032188,3.618752935885425,0.07602133793630499
3,50,335920,0.1840421921629671,0.0378407336464691,29.674966932059675,9.360804138562836,0.0945504485838206
3,50,352716,0.1528210140158287,0.01955954589303571,36.87514170570183,8.30980475312286,0.08322563126141147
3,50,369512,0.04495241562430899,0.004813708493342492,27.204414054979242,3.549976757159537,0.02939705618196499
3,50,386308,0.03865532993624087,0.009392126101920726,5.772886228135919,2.7012216330381116,0.020997227501346392
3,50,403104,0.08968304290404729,0.010033025699700925,10.12201374324348,4.251451899900567,0.05155223423488793
3,50,419900,0.08775569905095851,0.012898895257624334,14.219755059587241,5.736101303641689,0.04576340481167282
3,50,436696,0.3389171000710193,0.04864466380702336,79.21546264958124,19.760980924258618,0.24376915098156188
3,50,453492,0.07421528074055485,0.019180792334575137,11.59785796844006,4.859914059679375,0.05694203728237933
3,50,470288,0.06377834244596912,0.020812216080785692,7.506129435424685,3.3769275218467785,0.03659923139053847
3,50,487084,0.08370936776785466,0.022340767850943213,10.318810583922655,4.608460036699653,0.054894501368325244
