window,rmse,mae,mape,smape,nrmse
0,2.386,1.553,223.217,36.262,0.527
16796,0.446,0.261,116.907,16.132,0.057
33592,0.578,0.398,178.838,43.052,0.147
50388,1.508,0.678,66.686,22.461,0.249
67184,0.413,0.286,139.377,18.647,0.064
83980,0.274,0.208,123.044,36.507,0.075
100776,0.376,0.184,50.489,12.734,0.066
117572,0.446,0.215,31.037,12.974,0.073
134368,0.355,0.256,179.854,23.123,0.075
151164,0.693,0.456,121.922,59.573,0.059
167960,0.47,0.281,41.269,26.453,0.06
184756,0.298,0.201,159.939,20.696,0.046
201552,0.424,0.082,67.029,12.09,0.072
218348,0.206,0.135,288.48,23.17,0.063
235144,0.275,0.126,163.041,16.242,0.041
251940,0.532,0.236,97.144,23.568,0.074
268736,1.484,1.094,294.301,65.573,0.124
285532,1.345,0.769,446.903,34.847,0.115
302328,1.005,0.596,86.493,26.585,0.116
319124,1.387,0.982,690.867,59.654,0.124
335920,0.605,0.39,85.271,41.632,0.124
352716,0.839,0.424,86.578,30.573,0.107
369512,0.548,0.273,40.993,19.645,0.059
386308,0.458,0.393,343.429,29.432,0.111
403104,0.551,0.327,71.375,30.418,0.062
419900,0.351,0.177,46.157,15.739,0.052
436696,0.335,0.225,617.073,19.441,0.048
453492,0.365,0.242,45.136,13.599,0.094
470288,0.628,0.571,147.659,65.518,0.205
487084,0.3,0.198,52.738,16.318,0.08
