window,rmse,mae,mape,smape,nrmse
0,1.073,0.71,93.176,24.113,0.237
16796,0.415,0.215,89.842,12.081,0.053
33592,1.407,0.757,457.184,45.222,0.358
50388,0.703,0.349,31.754,16.481,0.116
67184,0.316,0.156,44.39,11.066,0.049
83980,0.288,0.202,84.772,19.921,0.079
100776,0.395,0.209,40.923,14.559,0.069
117572,0.449,0.196,28.295,11.636,0.073
134368,0.342,0.222,127.938,21.792,0.072
151164,0.503,0.188,62.51,13.49,0.043
167960,0.415,0.196,43.762,14.098,0.053
184756,0.275,0.151,81.168,15.927,0.042
201552,0.429,0.122,127.64,18.948,0.072
218348,0.314,0.222,283.513,24.983,0.096
235144,0.276,0.133,141.35,17.084,0.042
251940,0.55,0.265,125.981,29.693,0.076
268736,1.215,0.535,57.885,15.383,0.102
285532,1.32,0.665,140.889,24.705,0.113
302328,0.926,0.371,42.095,14.291,0.107
319124,0.991,0.444,443.645,20.35,0.088
335920,1.068,0.696,187.921,45.947,0.22
352716,0.883,0.392,89.483,20.195,0.113
369512,0.517,0.243,45.806,19.002,0.055
386308,0.283,0.198,113.293,17.85,0.069
403104,0.478,0.23,39.145,13.646,0.053
419900,0.352,0.185,41.309,17.632,0.052
436696,0.33,0.191,207.429,18.044,0.047
453492,0.462,0.337,54.67,26.84,0.12
470288,0.291,0.217,42.203,16.365,0.095
487084,0.344,0.268,81.354,22.298,0.092
