variable,rmse,mae,mape,r2,smape,nrmse
SO2.10(t),415.396,167.479,837.099,0.603,167.479,0.603
NO2.10(t),2293.931,742.753,499.847,0.614,742.753,0.614
CO.10(t),382.205,222.778,25.465,0.734,222.778,0.734
O3.10(t),563.837,101.847,1276.884,0.617,101.847,0.617
TEMP.10(t),228.892,108.458,inf,0.716,108.458,0.716
PRES.10(t),4001.819,484.923,24.533,0.849,484.923,0.849
DEWP.10(t),1.682,1.046,inf,0.841,1.046,0.841
RAIN.10(t),0.295,0.064,inf,-0.179,0.064,-0.179
WSPM.10(t),0.754,0.56,inf,0.317,0.56,0.317
PM2.5.11(t),23.164,14.059,47.859,0.822,14.059,0.822
PM10.11(t),33.191,21.07,38.666,0.712,21.07,0.712
SO2.11(t),5.456,3.144,27.638,0.754,3.144,0.754
NO2.11(t),12.935,8.615,24.655,0.74,8.615,0.74
CO.11(t),363.479,215.155,23.95,0.763,215.155,0.763
O3.11(t),347.586,51.958,94.0,0.7,51.958,0.7
TEMP.11(t),228.752,108.353,inf,0.72,108.353,0.72
PRES.11(t),4001.777,484.893,24.496,0.854,484.893,0.854
DEWP.11(t),1.586,0.97,inf,0.876,0.97,0.876
RAIN.11(t),0.318,0.069,,-0.085,0.069,-0.085
WSPM.11(t),0.854,0.621,inf,0.316,0.621,0.316
