window,rmse,mape,mae,r2,smape,nrmse,variable
1866,98.639,77.627,65.399,0.327,25.403,0.154,NOx(GT)(t)
1866,124.962,11.075,96.906,0.731,5.3,0.13,PT08.S3(NOx)(t)
1866,84.31,50.699,42.732,-0.225,20.11,0.22,NO2(GT)(t)
1866,193.253,6.8,128.111,0.587,3.439,0.134,PT08.S4(NO2)(t)
1866,187.372,13.941,135.424,0.723,7.05,0.11,PT08.S5(O3)(t)
1866,2.557,7.84,2.017,0.802,3.975,0.122,T(t)
1866,5.224,12.345,4.223,0.85,5.847,0.087,RH(t)
1866,0.05,3.34,0.039,0.834,1.67,0.095,AH(t)
2177,32.924,834.49,11.644,-1.105,66.971,0.161,CO(GT)(t)
2177,190.251,26.936,114.189,0.896,12.027,0.124,PT08.S1(CO)(t)
2177,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
2177,33.098,275.548,17.696,0.9,42.252,0.144,C6H6(GT)(t)
2177,215.322,30.721,136.103,0.866,14.276,0.123,PT08.S2(NMHC)(t)
2177,81.957,94.43,52.301,0.139,28.789,0.14,NOx(GT)(t)
2177,238.167,45.898,161.412,0.827,28.495,0.15,PT08.S3(NOx)(t)
2177,69.439,49.744,34.117,-0.312,18.266,0.2,NO2(GT)(t)
2177,300.398,33.266,171.046,0.897,13.696,0.116,PT08.S4(NO2)(t)
2177,193.986,32.198,126.967,0.879,14.863,0.104,PT08.S5(O3)(t)
2177,36.338,57.978,19.697,0.895,32.402,0.154,T(t)
2177,37.56,35.806,19.379,0.902,20.563,0.146,RH(t)
2177,31.927,1016.238,16.958,0.899,48.088,0.158,AH(t)
2488,40.044,1545.159,16.001,-0.58,76.636,0.195,CO(GT)(t)
2488,88.059,6.043,63.406,0.589,3.043,0.121,PT08.S1(CO)(t)
2488,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
2488,3.595,28.543,2.356,0.506,13.883,0.135,C6H6(GT)(t)
2488,125.231,9.194,87.929,0.565,4.653,0.137,PT08.S2(NMHC)(t)
2488,76.24,61.291,50.963,0.266,31.078,0.147,NOx(GT)(t)
2488,93.335,9.13,72.384,0.614,4.402,0.132,PT08.S3(NOx)(t)
2488,65.897,50.494,41.342,-0.008,29.609,0.176,NO2(GT)(t)
2488,144.836,5.71,97.476,0.538,2.873,0.112,PT08.S4(NO2)(t)
2488,170.599,14.657,134.567,0.626,7.376,0.128,PT08.S5(O3)(t)
2488,3.058,8.75,2.342,0.748,4.204,0.156,T(t)
2488,5.453,14.238,4.31,0.834,6.897,0.116,RH(t)
2488,0.12,8.403,0.097,0.688,4.038,0.139,AH(t)
2799,43.844,1500.193,14.406,-0.885,69.311,0.214,CO(GT)(t)
2799,83.758,6.42,67.142,0.533,3.249,0.153,PT08.S1(CO)(t)
2799,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
2799,4.01,29.638,2.978,0.543,15.152,0.164,C6H6(GT)(t)
2799,138.565,10.393,106.015,0.586,5.292,0.158,PT08.S2(NMHC)(t)
2799,88.751,70.252,59.447,0.299,28.578,0.163,NOx(GT)(t)
2799,92.141,10.052,75.765,0.57,4.849,0.145,PT08.S3(NOx)(t)
2799,77.607,49.144,45.417,0.055,23.141,0.191,NO2(GT)(t)
2799,141.598,6.263,104.742,0.531,3.185,0.142,PT08.S4(NO2)(t)
2799,214.502,16.824,167.688,0.42,8.537,0.192,PT08.S5(O3)(t)
2799,2.858,8.849,2.393,0.801,4.318,0.137,T(t)
2799,4.988,13.655,3.863,0.819,6.44,0.139,RH(t)
2799,0.071,4.404,0.047,0.52,2.137,0.117,AH(t)
3110,26.263,371.816,12.217,0.538,5.973,0.131,CO(GT)(t)
3110,216.769,15.335,93.405,-0.288,5.638,0.137,PT08.S1(CO)(t)
3110,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
3110,33.669,111.575,10.666,-0.901,33.499,0.149,C6H6(GT)(t)
3110,237.166,18.8,127.748,0.08,7.561,0.142,PT08.S2(NMHC)(t)
3110,107.506,79.014,70.154,-0.159,31.836,0.216,NOx(GT)(t)
3110,169.974,16.469,91.512,0.108,6.992,0.125,PT08.S3(NOx)(t)
3110,99.384,56.969,57.031,-0.474,25.689,0.268,NO2(GT)(t)
3110,351.106,19.645,160.399,-0.389,5.927,0.139,PT08.S4(NO2)(t)
3110,269.045,23.446,161.089,0.225,9.933,0.142,PT08.S5(O3)(t)
3110,35.704,31.299,10.864,-0.832,11.991,0.149,T(t)
3110,39.892,32.028,12.468,-0.868,13.93,0.154,RH(t)
3110,31.838,547.545,9.327,-0.978,76.022,0.158,AH(t)
3421,33.417,1075.644,12.14,-1.176,72.341,0.165,CO(GT)(t)
3421,70.639,5.589,57.418,0.535,2.802,0.154,PT08.S1(CO)(t)
3421,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
3421,2.194,27.234,1.69,0.562,13.424,0.128,C6H6(GT)(t)
3421,94.171,8.599,73.24,0.565,4.295,0.132,PT08.S2(NMHC)(t)
3421,72.482,129.432,43.641,-0.127,30.476,0.187,NOx(GT)(t)
3421,89.689,8.795,68.933,0.569,4.361,0.12,PT08.S3(NOx)(t)
3421,69.792,84.859,37.169,-0.349,27.041,0.214,NO2(GT)(t)
3421,96.29,4.325,73.612,0.474,2.161,0.132,PT08.S4(NO2)(t)
3421,129.47,13.466,104.978,0.66,6.591,0.131,PT08.S5(O3)(t)
3421,2.121,5.206,1.662,0.819,2.618,0.124,T(t)
3421,6.051,12.362,4.69,0.824,5.727,0.137,RH(t)
3421,0.085,3.306,0.062,0.691,1.64,0.141,AH(t)
3732,53.845,1673.909,24.507,0.41,78.773,0.265,CO(GT)(t)
3732,62.458,4.932,47.21,0.692,2.485,0.113,PT08.S1(CO)(t)
3732,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
3732,2.284,28.528,1.651,0.555,13.909,0.118,C6H6(GT)(t)
3732,94.179,8.612,71.385,0.592,4.32,0.123,PT08.S2(NMHC)(t)
3732,82.164,85.025,47.816,0.462,28.695,0.198,NOx(GT)(t)
3732,88.473,8.478,68.307,0.625,4.172,0.128,PT08.S3(NOx)(t)
3732,74.011,56.65,38.324,0.526,20.777,0.225,NO2(GT)(t)
3732,101.118,4.798,72.488,0.636,2.432,0.108,PT08.S4(NO2)(t)
3732,123.919,12.692,96.745,0.651,6.436,0.137,PT08.S5(O3)(t)
3732,2.178,6.481,1.733,0.83,3.172,0.12,T(t)
3732,5.534,11.758,4.296,0.776,5.958,0.136,RH(t)
3732,0.104,5.12,0.07,0.842,2.584,0.115,AH(t)
4043,40.544,1386.876,16.614,0.56,71.743,0.197,CO(GT)(t)
4043,171.056,15.432,86.935,0.738,5.009,0.107,PT08.S1(CO)(t)
4043,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
4043,26.142,150.597,10.229,0.778,46.623,0.114,C6H6(GT)(t)
4043,186.845,19.078,111.779,0.699,7.154,0.106,PT08.S2(NMHC)(t)
4043,59.948,14.841,28.81,0.676,7.799,0.139,NOx(GT)(t)
4043,168.156,18.211,103.641,0.751,7.074,0.11,PT08.S3(NOx)(t)
4043,41.761,14.1,19.48,0.67,6.742,0.145,NO2(GT)(t)
4043,240.198,18.738,124.305,0.726,5.121,0.107,PT08.S4(NO2)(t)
4043,230.721,27.858,153.909,0.629,10.829,0.125,PT08.S5(O3)(t)
4043,27.946,30.764,10.991,0.789,21.449,0.119,T(t)
