variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
SO2.9,7.288,5.035,71.372,0.571,26.472,0.126,5.458,4.012,30.17,0.164,7.16,0.032
NO2.9,13.955,10.431,28.544,0.635,11.954,0.129,3.8,2.871,8.097,0.181,2.755,0.023
CO.9,443.163,301.119,37.209,0.647,14.442,0.12,344.689,228.305,25.999,0.198,7.153,0.034
O3.9,295.232,138.812,741.776,0.658,30.267,0.144,1496.62,672.482,3415.825,0.209,15.884,0.035
TEMP.9,247.641,162.05,inf,0.618,20.919,0.131,949.627,621.155,,0.409,23.434,0.044
PRES.9,4344.074,1672.973,141.157,0.729,3.2,0.101,23783.147,9155.608,772.396,0.421,17.151,0.035
DEWP.9,1.956,1.413,inf,0.828,11.139,0.102,0.796,0.543,,0.085,9.079,0.02
RAIN.9,0.277,0.133,,-0.442,,,0.648,0.352,,3.276,,
WSPM.9,0.881,0.661,inf,0.344,20.534,0.156,0.263,0.194,,0.302,5.01,0.029
PM2.5.10,24.355,16.919,58.108,0.805,19.221,0.106,15.015,10.355,30.1,0.109,6.906,0.029
PM10.10,33.656,23.979,49.554,0.693,17.17,0.124,20.701,13.438,24.845,0.213,5.938,0.032
SO2.10,524.687,337.956,1734.485,0.408,23.449,0.135,2220.728,1410.327,6602.405,1.07,19.702,0.067
NO2.10,2192.372,1363.066,2732.205,0.542,17.588,0.129,8404.437,5257.41,12373.05,0.65,21.526,0.026
CO.10,415.776,292.455,37.805,0.708,14.187,0.117,282.608,194.855,25.943,0.132,6.754,0.023
O3.10,399.851,152.93,5311.487,0.647,34.954,0.143,1456.777,542.218,26573.081,0.192,18.013,0.038
TEMP.10,247.915,162.271,inf,0.587,22.025,0.139,949.594,621.141,,0.4,23.39,0.043
PRES.10,4344.121,1672.991,141.325,0.73,3.201,0.104,23783.168,9155.633,773.309,0.421,17.152,0.037
DEWP.10,1.986,1.425,inf,0.791,11.7,0.106,0.78,0.544,,0.112,10.373,0.019
RAIN.10,0.285,0.135,,0.29,,,0.58,0.295,,0.692,,
WSPM.10,0.727,0.555,inf,0.383,24.266,0.157,0.176,0.137,,0.214,7.585,0.025
PM2.5.11,26.409,18.61,72.894,0.791,20.761,0.107,13.035,9.364,44.079,0.098,8.485,0.027
PM10.11,36.487,26.337,58.207,0.684,18.364,0.123,18.622,13.574,32.685,0.184,6.899,0.036
SO2.11,6.927,4.764,56.533,0.647,21.73,0.115,5.661,4.058,24.27,0.153,5.616,0.022
NO2.11,14.486,10.714,32.955,0.684,12.934,0.126,4.569,3.493,13.844,0.165,3.36,0.026
CO.11,456.544,320.747,41.972,0.662,15.636,0.122,346.221,237.844,34.245,0.198,9.577,0.037
O3.11,330.086,112.855,1040.148,0.65,28.481,0.142,1697.494,537.28,5008.227,0.299,16.401,0.032
TEMP.11,247.694,162.091,inf,0.603,21.329,0.133,949.613,621.144,,0.409,23.633,0.045
PRES.11,4344.06,1672.958,141.156,0.741,3.199,0.101,23783.149,9155.61,772.396,0.416,17.151,0.035
DEWP.11,1.992,1.432,inf,0.817,11.301,0.102,0.782,0.536,,0.087,9.18,0.02
RAIN.11,0.294,0.147,,0.308,,,0.662,0.364,,0.774,,
WSPM.11,0.83,0.619,inf,0.366,20.485,0.157,0.199,0.142,,0.227,4.003,0.025
