,window,rmse,mape,mae,r2,variable,smape,nrmse
0,0,23.787783986208645,824.890528103465,11.333907634229998,0.6256944910884009,CO(GT),65.18717956925035,0.11632168208414985
1,0,158.58049607698905,10.67191510010326,128.58629901592548,0.3809124624483877,PT08.S1(CO),5.241899886092112,0.19847371223653199
2,0,165.99958003576853,91.71494683858458,122.44941213192084,0.4880406819672831,NMHC(GT),41.558989193839466,0.19036649086670704
3,0,3.345047090030808,48.4755355982992,2.5746356065456686,0.6014782666852196,C6H6(GT),17.233392509957927,0.16397289657013764
4,0,123.05518986413158,11.004791072368574,93.88438689403044,0.692247833094336,PT08.S2(NMHC),5.346566743642567,0.14209606219876625
5,0,64.74781985952696,37.04749973346011,40.24776774186354,0.47468090776538774,NOx(GT),19.904423280862733,0.13894381944104497
6,0,155.52870794716563,10.599315811888257,111.55155279697516,0.6810482077565598,PT08.S3(NOx),5.227475225605158,0.12644610402208586
7,0,52.90720339150807,24.563487704858154,25.888971157563038,0.30985100678916544,NO2(GT),14.79202045969247,0.15291099246100598
8,0,134.13557491557626,6.36165806639712,102.27314014923878,0.5349538410847405,PT08.S4(NO2),3.163596607891334,0.15190891836418602
9,0,184.23000111297688,18.22781438939686,146.73885286771335,0.6125629614691434,PT08.S5(O3),8.527068053911178,0.14438087861518564
10,0,1.9281210025264244,10.489925146413082,1.5279865093720268,0.6009944845195101,T,5.041644106924745,0.1530254763909861
11,0,6.19032000278893,9.874068155261504,4.817200112954164,0.7237863138424534,RH,4.829174318451997,0.10995239791809823
12,0,0.07598545491007128,7.091614754774141,0.06017725505217529,0.5586383234260562,AH,3.4016578688610957,0.1563808497840528
13,312,78.52925730827978,1780.1942010219157,73.35861269632976,0.3653764780711335,CO(GT),48.955430127775855,0.38213750514977995
14,312,152.91363505067207,10.285954153718006,126.62430200821314,0.30198365237785574,PT08.S1(CO),5.056372149017455,0.1862529050556298
15,312,199.85481305638623,73.23854714994363,152.38576796421637,0.5517965500053714,NMHC(GT),42.532879492638244,0.20248714595378545
16,312,5.947100805890259,88.76613799632219,4.761449065575231,-0.001206779856926854,C6H6(GT),24.587370913072924,0.23050778317404105
17,312,168.88768540942124,15.099315607708283,138.5178942558093,0.42013720535394083,PT08.S2(NMHC),7.3467018250292435,0.17198338636397276
18,312,136.383176962315,73.64955600156597,111.96132713709122,0.39762224354248943,NOx(GT),44.6832138810872,0.2895608852703078
19,312,113.60473218544043,9.887656051272963,85.75548377403847,0.6049864672229636,PT08.S3(NOx),4.7692118934993175,0.11760324242799217
20,312,111.97909195248378,71.53273880933574,93.49941932161649,0.45947619985691346,NO2(GT),46.61888760738191,0.30429101074044507
21,312,175.9258539149577,8.481832506266834,139.75646190154248,0.23961641457148042,PT08.S4(NO2),4.223687334852857,0.17230739854550217
22,312,184.98632816749108,16.44104440340573,141.76204114082532,0.6302267960522492,PT08.S5(O3),7.386433528716438,0.14306753918599466
23,312,4.934606001354092,23.321131148521488,4.294344437428011,-0.36219320092729435,T,11.322112436106718,0.3356874830853124
24,312,6.661992629880387,13.90335784772049,5.622611217009715,0.7285754233213639,RH,6.4386226313695,0.14235026986923904
25,312,0.05932086004675904,5.201744680617576,0.05005571525158026,0.26309627849048656,AH,2.563652229507929,0.19013096168833027
26,624,59.5146491126939,1055.3997563465546,54.695520528157545,0.657732508624514,CO(GT),55.971321083501145,0.2870943034862224
27,624,153.81442530644432,9.843915794673132,119.62649223132011,0.5635111023563519,PT08.S1(CO),4.859695423347698,0.15647449166474497
28,624,163.0977776620875,46.6367756353511,112.54418681218074,0.7934763536542719,NMHC(GT),19.71895579183448,0.1174210062362041
29,624,6.4590650963889,81.80090668126847,5.4383565670404685,0.1504032033250593,C6H6(GT),27.164936582982325,0.2031152546034245
30,624,153.18438603405707,12.68586931577787,120.33188961713742,0.6008427776972438,PT08.S2(NMHC),6.2351377807239405,0.14478675428549817
31,624,84.25191010532417,35.107273281690524,65.8489937996253,0.8387915784904557,NOx(GT),21.58869532685347,0.15263027192993509
32,624,134.80230996379993,13.699321337117665,106.16452417618189,0.48109313311684887,PT08.S3(NOx),6.314590680646229,0.16300158399492132
33,624,75.10900232527125,49.481195964464675,65.90139265778737,0.7773855157436638,NO2(GT),35.399192075644834,0.2098016824728247
34,624,179.7977912298707,7.858760229019696,136.68205378605768,0.4375644038243419,PT08.S4(NO2),3.954631609036919,0.1697807282623897
35,624,205.38615480279233,16.915090899287787,158.76521496895032,0.6715349853923895,PT08.S5(O3),8.2055268684929,0.12485480535124154
36,624,2.586266370246914,14.724247039967478,2.2362043967613805,-0.19855386626224436,T,7.220065849017416,0.26123902729766807
37,624,12.35233583709755,19.991898851058053,11.093170635516827,0.23333406728403983,RH,9.158871510103971,0.23754491994418364
38,624,0.11035415803068505,8.687774995088727,0.08705925966654067,0.21792808198221036,AH,4.131258247021888,0.21991661624289566
39,936,35.97306513615939,710.5989513209577,18.272955895901823,0.15017438745187972,CO(GT),68.34035542911914,0.1736151792285685
40,936,140.30717069830712,8.763014209304693,106.9349615635016,0.6497400421754882,PT08.S1(CO),4.238684163300153,0.15367707633987637
41,936,216.92030964149185,84.46111808966245,174.30755830422427,0.5054905444416695,NMHC(GT),40.91570844420883,0.16322069950450854
42,936,4.871263427063123,38.16681507709788,3.6733462627117444,0.6168485480403927,C6H6(GT),15.410142534061347,0.1436950863440449
43,936,156.97684660910394,11.867617937597366,119.23363318810097,0.6343251369825695,PT08.S2(NMHC),5.750380619912253,0.14508026488826611
