window,rmse,mape,mae,r2,smape,nrmse,variable
1866,101.308,75.985,62.52,0.29,24.034,0.158,NOx(GT)(t)
1866,115.188,9.342,81.635,0.771,4.506,0.119,PT08.S3(NOx)(t)
1866,89.771,49.65,40.909,-0.389,17.917,0.234,NO2(GT)(t)
1866,197.072,6.634,125.866,0.571,3.332,0.137,PT08.S4(NO2)(t)
1866,201.339,13.789,138.915,0.681,6.861,0.119,PT08.S5(O3)(t)
1866,1.958,6.224,1.587,0.884,3.143,0.093,T(t)
1866,4.929,11.202,4.079,0.866,5.418,0.082,RH(t)
1866,0.049,2.791,0.033,0.843,1.392,0.093,AH(t)
2177,32.211,293.087,5.632,-1.015,18.577,0.157,CO(GT)(t)
2177,198.172,24.905,114.002,0.887,11.994,0.129,PT08.S1(CO)(t)
2177,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
2177,34.255,346.139,18.459,0.893,50.068,0.149,C6H6(GT)(t)
2177,203.403,26.986,124.905,0.881,13.402,0.116,PT08.S2(NMHC)(t)
2177,76.058,71.945,42.452,0.259,20.991,0.13,NOx(GT)(t)
2177,228.151,21.373,106.895,0.841,10.507,0.144,PT08.S3(NOx)(t)
2177,69.335,46.673,30.915,-0.308,15.749,0.2,NO2(GT)(t)
2177,318.979,33.134,183.961,0.884,16.169,0.123,PT08.S4(NO2)(t)
2177,191.104,24.828,118.613,0.883,12.817,0.103,PT08.S5(O3)(t)
2177,37.478,64.001,19.808,0.889,41.005,0.159,T(t)
2177,39.658,40.492,20.129,0.89,27.487,0.154,RH(t)
2177,33.161,1102.514,17.41,0.891,52.449,0.165,AH(t)
2488,45.366,1244.641,11.513,-1.028,55.194,0.221,CO(GT)(t)
2488,89.48,5.939,62.65,0.576,2.999,0.123,PT08.S1(CO)(t)
2488,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
2488,3.701,25.476,2.307,0.476,12.526,0.139,C6H6(GT)(t)
2488,122.588,8.847,85.038,0.583,4.487,0.134,PT08.S2(NMHC)(t)
2488,82.648,64.511,47.458,0.137,21.547,0.16,NOx(GT)(t)
2488,90.844,8.598,67.877,0.634,4.153,0.128,PT08.S3(NOx)(t)
2488,78.874,46.77,36.645,-0.443,17.109,0.211,NO2(GT)(t)
2488,152.522,5.505,95.626,0.488,2.775,0.118,PT08.S4(NO2)(t)
2488,178.305,13.913,129.085,0.591,6.991,0.133,PT08.S5(O3)(t)
2488,2.15,6.051,1.705,0.876,3.039,0.11,T(t)
2488,5.684,16.438,4.59,0.819,7.493,0.121,RH(t)
2488,0.105,6.691,0.075,0.759,3.219,0.121,AH(t)
2799,45.515,1153.088,11.595,-1.032,47.644,0.222,CO(GT)(t)
2799,82.087,6.171,64.045,0.552,3.106,0.15,PT08.S1(CO)(t)
2799,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
2799,3.955,32.447,2.938,0.555,15.409,0.161,C6H6(GT)(t)
2799,133.461,10.735,104.279,0.616,5.346,0.152,PT08.S2(NMHC)(t)
2799,94.611,71.198,59.596,0.203,24.348,0.174,NOx(GT)(t)
2799,87.36,9.119,71.011,0.614,4.468,0.138,PT08.S3(NOx)(t)
2799,87.238,48.047,44.102,-0.195,18.332,0.215,NO2(GT)(t)
2799,145.027,6.455,107.076,0.508,3.245,0.146,PT08.S4(NO2)(t)
2799,210.999,16.779,163.442,0.439,8.234,0.188,PT08.S5(O3)(t)
2799,2.506,6.994,1.96,0.847,3.536,0.12,T(t)
2799,5.351,14.31,4.001,0.791,6.701,0.149,RH(t)
2799,0.068,4.025,0.044,0.568,1.964,0.112,AH(t)
3110,23.225,332.37,4.028,0.639,3.338,0.115,CO(GT)(t)
3110,207.61,15.051,87.212,-0.181,5.313,0.131,PT08.S1(CO)(t)
3110,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
3110,33.619,70.664,8.088,-0.895,15.304,0.148,C6H6(GT)(t)
3110,223.448,18.826,123.026,0.183,7.298,0.134,PT08.S2(NMHC)(t)
3110,108.765,81.197,64.768,-0.186,25.188,0.219,NOx(GT)(t)
3110,179.455,16.613,92.155,0.006,7.028,0.132,PT08.S3(NOx)(t)
3110,101.236,55.921,50.289,-0.53,20.378,0.273,NO2(GT)(t)
3110,326.307,19.451,147.905,-0.199,5.565,0.129,PT08.S4(NO2)(t)
3110,248.582,23.04,156.499,0.338,9.501,0.131,PT08.S5(O3)(t)
3110,36.222,18.168,7.341,-0.886,5.282,0.151,T(t)
3110,39.326,20.045,9.751,-0.815,8.183,0.152,RH(t)
3110,32.221,216.984,5.702,-1.026,28.898,0.16,AH(t)
3421,32.204,471.959,6.132,-1.021,33.816,0.159,CO(GT)(t)
3421,65.71,5.069,52.071,0.598,2.543,0.143,PT08.S1(CO)(t)
3421,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
3421,2.183,25.919,1.622,0.567,11.925,0.127,C6H6(GT)(t)
3421,91.399,8.281,70.038,0.59,4.132,0.128,PT08.S2(NMHC)(t)
3421,74.138,115.547,37.824,-0.18,23.204,0.191,NOx(GT)(t)
3421,87.819,8.689,68.727,0.587,4.279,0.118,PT08.S3(NOx)(t)
3421,73.552,80.355,32.388,-0.498,19.268,0.226,NO2(GT)(t)
3421,93.637,4.19,71.485,0.502,2.098,0.128,PT08.S4(NO2)(t)
3421,124.285,12.469,99.358,0.687,6.076,0.126,PT08.S5(O3)(t)
3421,1.891,4.559,1.419,0.856,2.29,0.111,T(t)
3421,5.523,10.163,4.19,0.853,4.916,0.125,RH(t)
3421,0.09,3.718,0.07,0.66,1.827,0.149,AH(t)
3732,51.34,1090.321,16.88,0.463,70.15,0.252,CO(GT)(t)
3732,56.999,4.67,44.097,0.744,2.33,0.103,PT08.S1(CO)(t)
3732,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
3732,2.321,26.652,1.671,0.541,12.519,0.12,C6H6(GT)(t)
3732,92.701,8.616,72.159,0.605,4.296,0.121,PT08.S2(NMHC)(t)
3732,90.993,82.552,45.964,0.34,21.546,0.219,NOx(GT)(t)
3732,87.334,8.021,67.025,0.634,3.983,0.127,PT08.S3(NOx)(t)
3732,74.445,54.403,33.539,0.521,16.589,0.226,NO2(GT)(t)
3732,94.054,4.877,73.679,0.685,2.44,0.101,PT08.S4(NO2)(t)
3732,125.159,13.317,100.063,0.644,6.505,0.139,PT08.S5(O3)(t)
