variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
Appliances(t),79.553,47.939,52.59,-0.363,21.135,0.174,32.477,19.496,28.98,2.205,7.038,0.111
lights(t),6.6,4.384,inf,-0.751,88.053,inf,2.982,2.42,,3.812,10.78,
T1(t),0.418,0.353,1.652,0.062,0.827,0.224,0.262,0.234,1.15,2.072,0.586,0.157
RH_1(t),1.226,0.935,2.326,0.239,1.163,0.157,0.682,0.608,1.482,1.049,0.749,0.081
T2(t),0.654,0.542,2.593,0.425,1.297,0.186,0.39,0.312,1.324,0.921,0.669,0.104
RH_2(t),1.472,1.208,3.021,-0.014,1.5,0.209,1.074,0.959,2.109,2.045,1.074,0.172
T3(t),0.552,0.459,2.035,-0.888,1.028,0.298,0.351,0.313,1.407,1.746,0.729,0.146
RH_3(t),0.994,0.821,2.099,-0.064,1.04,0.227,0.616,0.54,1.34,0.961,0.655,0.125
T4(t),0.694,0.586,2.893,-1.08,1.464,0.347,0.481,0.418,2.133,2.352,1.116,0.172
RH_4(t),1.09,0.898,2.293,-0.329,1.142,0.24,0.587,0.535,1.321,1.898,0.655,0.132
T5(t),0.461,0.369,1.892,-0.787,0.959,0.271,0.352,0.297,1.598,3.423,0.84,0.257
RH_5(t),5.281,3.945,7.841,-2.854,3.787,0.345,2.407,1.832,4.319,10.616,1.9,0.511
T6(t),1.612,1.279,inf,0.317,14.106,0.198,0.682,0.533,,2.015,12.947,0.19
RH_6(t),7.539,6.195,50.482,-4.771835396139673e+25,14.841,inf,5.353,4.7,74.069,2.6136418871672997e+26,16.698,
T7(t),0.374,0.316,1.574,-2.575,0.788,0.363,0.215,0.193,1.007,6.548,0.505,0.292
RH_7(t),1.849,1.553,4.425,-0.947,2.208,0.303,1.25,1.162,3.297,4.157,1.637,0.264
T8(t),0.629,0.538,2.464,-1.046,1.221,0.333,0.346,0.331,1.577,3.28,0.754,0.217
RH_8(t),1.668,1.377,3.245,0.149,1.612,0.21,0.791,0.653,1.357,1.689,0.682,0.118
T9(t),0.301,0.263,1.4,-3.506,0.703,0.46,0.191,0.176,1.034,8.423,0.523,0.322
RH_9(t),1.422,1.205,2.882,-0.701,1.441,0.273,0.744,0.717,1.485,4.47,0.766,0.233
T_out(t),1.292,1.098,inf,0.043,11.81,0.206,0.652,0.59,,2.874,11.167,0.198
Press_mm_hg(t),2.576,2.169,0.287,-3.117,0.144,0.527,1.856,1.545,0.204,3.726,0.102,0.236
RH_out(t),6.315,5.239,7.359,-0.364,3.624,0.223,2.066,1.965,3.316,2.875,1.706,0.163
Windspeed(t),1.401,1.167,inf,-0.72,16.027,0.275,0.893,0.823,,2.942,9.108,0.183
Visibility(t),6.313,5.139,13.977,0.484,6.703,0.187,3.535,3.102,7.372,0.552,3.426,0.085
Tdewpoint(t),1.293,1.057,inf,-1.611,22.397,0.299,0.726,0.689,,6.238,18.735,0.281
