variable,rmse,mae,mape,r2,smape,nrmse
Appliances(t),88.618,54.495,60.579,-0.723,24.015,0.195
lights(t),7.02,4.658,inf,-0.674,89.64,inf
T1(t),0.463,0.394,1.845,-0.007,0.922,0.248
RH_1(t),1.417,1.088,2.697,0.013,1.345,0.185
T2(t),0.727,0.601,2.868,0.3,1.437,0.206
RH_2(t),1.678,1.369,3.436,-0.206,1.704,0.237
T3(t),0.616,0.51,2.256,-1.35,1.142,0.333
RH_3(t),1.055,0.872,2.227,-0.173,1.103,0.24
T4(t),0.771,0.66,3.259,-1.639,1.649,0.386
RH_4(t),1.168,0.953,2.434,-0.354,1.21,0.259
T5(t),0.514,0.413,2.11,-1.145,1.071,0.301
RH_5(t),6.503,4.892,9.66,-3.629,4.655,0.38
T6(t),1.82,1.476,inf,0.163,14.916,0.223
RH_6(t),8.325,6.793,46.418,-2.171422341244564e+25,13.948,inf
T7(t),0.41,0.347,1.726,-3.036,0.865,0.395
RH_7(t),1.965,1.648,4.684,-0.804,2.337,0.318
T8(t),0.683,0.589,2.698,-1.562,1.335,0.364
RH_8(t),1.834,1.502,3.53,-0.078,1.759,0.235
T9(t),0.342,0.3,1.59,-4.654,0.799,0.521
RH_9(t),1.566,1.333,3.18,-0.966,1.593,0.299
T_out(t),1.433,1.205,inf,-0.172,13.088,0.23
Press_mm_hg(t),2.735,2.326,0.308,-3.788,0.154,0.569
RH_out(t),6.712,5.566,7.748,-0.121,3.763,0.223
Windspeed(t),1.628,1.358,inf,-1.103,18.86,0.315
Visibility(t),8.088,6.573,17.805,0.231,8.541,0.234
Tdewpoint(t),1.442,1.174,inf,-1.845,24.061,0.326
