window,rmse,mape,mae,r2,smape,nrmse,variable
8496,24.65,93.216,18.279,0.898,18.612,0.073,O3(t)
8496,1.842,5.14,1.301,0.902,2.561,0.071,TEMP(t)
8496,0.772,0.052,0.518,0.972,0.026,0.041,PRES(t)
8496,1.946,38.021,1.38,0.766,7.028,0.091,DEWP(t)
8496,1.232,inf,0.332,0.084,98.142,0.106,RAIN(t)
8496,0.89,inf,0.688,0.504,38.857,0.127,WSPM(t)
9558,15.532,24.051,9.195,0.902,9.882,0.073,PM2.5(t)
9558,16.484,24.422,9.355,0.89,9.922,0.077,PM10(t)
9558,1.069,25.22,0.746,0.551,11.322,0.134,SO2(t)
9558,11.647,20.128,8.237,0.764,9.236,0.089,NO2(t)
9558,277.811,26.993,154.174,0.771,11.767,0.096,CO(t)
9558,20.985,60.36,16.343,0.87,15.278,0.086,O3(t)
9558,1.363,3.667,1.009,0.898,1.815,0.083,TEMP(t)
9558,0.521,0.039,0.385,0.96,0.019,0.047,PRES(t)
9558,1.591,6.175,1.181,0.879,3.108,0.098,DEWP(t)
9558,1.544,inf,0.245,0.126,98.72,0.058,RAIN(t)
9558,0.807,inf,0.623,0.351,31.351,0.147,WSPM(t)
10620,12.167,19.977,8.429,0.934,8.233,0.073,PM2.5(t)
10620,35.807,30.757,23.507,0.646,13.685,0.115,PM10(t)
10620,1.757,23.108,0.951,0.629,10.421,0.11,SO2(t)
10620,15.972,35.725,11.293,0.727,10.44,0.11,NO2(t)
10620,292.028,24.508,208.731,0.712,11.25,0.104,CO(t)
10620,22.118,97.381,15.04,0.808,22.936,0.11,O3(t)
10620,1.33,4.431,1.02,0.881,2.189,0.074,TEMP(t)
10620,1.551,0.107,1.081,0.712,0.054,0.114,PRES(t)
10620,1.255,5.856,0.825,0.87,2.701,0.077,DEWP(t)
10620,1.247,inf,0.278,0.208,96.987,0.092,RAIN(t)
10620,0.627,inf,0.504,0.387,36.082,0.161,WSPM(t)
11682,28.733,16.245,17.91,0.913,7.762,0.08,PM2.5(t)
11682,47.897,19.613,31.739,0.813,9.514,0.096,PM10(t)
11682,4.885,23.874,2.972,0.612,12.154,0.087,SO2(t)
11682,25.556,14.435,14.968,0.749,7.064,0.093,NO2(t)
11682,433.61,17.357,260.756,0.784,8.649,0.099,CO(t)
11682,10.223,92.654,6.074,0.823,27.963,0.098,O3(t)
11682,1.674,10.458,1.143,0.878,5.174,0.076,TEMP(t)
11682,0.553,0.042,0.429,0.982,0.021,0.033,PRES(t)
11682,1.706,inf,1.096,0.898,16.58,0.069,DEWP(t)
11682,0.142,inf,0.084,0.0,100.0,inf,RAIN(t)
11682,0.73,inf,0.522,0.466,40.666,0.135,WSPM(t)
12744,18.011,29.114,10.472,0.95,11.88,0.057,PM2.5(t)
12744,40.652,32.403,24.274,0.887,13.402,0.065,PM10(t)
12744,6.827,26.08,4.358,0.8,11.736,0.079,SO2(t)
12744,9.739,18.458,6.855,0.932,8.206,0.073,NO2(t)
12744,383.502,15.386,211.593,0.906,7.248,0.075,CO(t)
12744,6.098,54.264,4.055,0.911,18.21,0.1,O3(t)
12744,3.202,inf,2.417,0.331,59.096,0.158,TEMP(t)
12744,2.728,0.205,2.096,0.751,0.103,0.114,PRES(t)
12744,3.724,inf,2.787,0.813,11.975,0.122,DEWP(t)
12744,0.037,inf,0.003,-0.005,100.0,0.062,RAIN(t)
12744,1.013,inf,0.704,0.602,20.58,0.133,WSPM(t)
13806,12.846,29.769,8.096,0.935,12.06,0.061,PM2.5(t)
13806,21.011,44.811,14.558,0.859,16.099,0.085,PM10(t)
13806,8.911,30.584,5.762,0.851,12.27,0.07,SO2(t)
13806,12.153,31.46,8.439,0.896,11.952,0.082,NO2(t)
13806,356.13,18.152,209.898,0.883,7.999,0.065,CO(t)
13806,14.862,46.916,10.168,0.742,18.252,0.14,O3(t)
13806,1.676,inf,1.212,0.851,30.599,0.084,TEMP(t)
13806,2.852,0.216,2.22,0.671,0.108,0.114,PRES(t)
13806,1.421,7.242,0.985,0.907,3.524,0.066,DEWP(t)
13806,0.0,inf,0.0,0.0,100.0,,RAIN(t)
13806,0.892,inf,0.661,0.43,20.428,0.144,WSPM(t)
14868,19.359,19.148,13.263,0.933,8.643,0.059,PM2.5(t)
14868,41.001,19.726,27.453,0.794,9.399,0.111,PM10(t)
14868,6.048,34.481,4.107,0.879,13.168,0.07,SO2(t)
14868,12.313,18.072,9.057,0.871,8.306,0.097,NO2(t)
14868,292.436,17.648,186.606,0.881,7.959,0.094,CO(t)
14868,14.527,65.157,10.843,0.845,17.594,0.108,O3(t)
14868,2.915,inf,2.233,0.64,13.673,0.146,TEMP(t)
14868,1.059,0.082,0.831,0.974,0.041,0.043,PRES(t)
14868,2.413,34.673,1.714,0.878,18.322,0.082,DEWP(t)
14868,0.065,inf,0.021,0.0,100.0,inf,RAIN(t)
14868,0.726,inf,0.581,0.589,16.947,0.14,WSPM(t)
15930,16.552,35.659,9.18,0.591,13.298,0.093,PM2.5(t)
15930,37.712,42.949,25.115,0.597,16.294,0.109,PM10(t)
15930,2.383,28.945,1.394,0.768,12.491,0.108,SO2(t)
15930,12.277,24.394,8.194,0.662,9.993,0.096,NO2(t)
15930,204.26,18.435,110.694,0.794,8.19,0.079,CO(t)
15930,16.169,31.466,11.74,0.827,11.21,0.092,O3(t)
15930,1.374,5.76,0.959,0.906,2.875,0.071,TEMP(t)
15930,1.408,0.077,0.775,0.942,0.039,0.051,PRES(t)
15930,2.411,38.544,1.412,0.885,18.597,0.083,DEWP(t)
15930,0.419,inf,0.091,0.555,96.726,0.081,RAIN(t)
