dim,fs,window,rmse,mape,smape,mae,nrmse,rules
2,40,11169,2.304,1.554,0.735,0.71,0.038,1934
2,40,11826,7.713,3.01,1.179,1.72,0.018,1572
2,40,12483,5.099,1.871,0.914,1.434,0.015,1808
2,40,13140,3.672,1.375,0.627,0.889,0.005,1612
2,40,13797,3.55,2.928,1.402,1.326,0.007,1570
2,40,14454,7.962,2.666,1.176,1.746,0.088,1804
2,40,15111,1.087,0.464,0.227,4.422,0.001,1671
2,40,15768,19.618,9.659,3.478,5.89,0.045,1633
2,40,16425,3.609,2.537,1.198,1.398,0.01,1741
2,40,17082,12.729,0.919,0.527,13.168,0.021,1322
2,40,17739,5.869,2.56,1.218,1.728,0.016,1366
2,40,18396,36.984,12.298,3.736,8.237,0.082,1446
2,40,19053,2.564,1.686,0.796,0.974,0.003,1326
2,50,0,1.828,0.549,0.257,0.323,0.004,1972
2,50,657,35.972,2.189,0.982,3.869,0.044,1628
2,50,1314,0.579,0.219,0.109,0.118,0.001,1613
2,50,1971,1.901,1.141,0.519,0.448,0.019,1740
2,50,2628,5.189,1.94,0.857,1.371,0.009,1781
2,50,3285,1.262,0.568,0.279,0.301,0.003,1861
2,50,3942,2.403,1.409,0.699,0.84,0.003,1985
2,50,4599,14.887,4.066,1.431,2.459,0.022,2032
2,50,5256,1.86,0.748,0.383,0.429,0.004,2015
2,50,5913,10.452,6.394,2.305,14.161,0.014,2038
2,50,6570,12.404,4.422,1.556,2.407,0.023,2214
2,50,7227,3.076,0.725,0.391,0.544,0.005,2056
2,50,7884,1.98,0.879,0.441,0.452,0.003,2144
2,50,8541,1.667,0.805,0.399,0.474,0.002,1925
2,50,9198,1.948,1.004,0.477,0.532,0.003,2074
2,50,9855,2.069,0.923,0.449,0.557,0.011,2080
2,50,10512,2.01,0.811,0.399,0.512,0.003,1995
2,50,11169,1.492,0.734,0.347,0.345,0.025,2313
2,50,11826,2.498,1.334,0.621,0.742,0.006,1758
2,50,12483,5.616,1.637,0.821,1.208,0.016,2165
2,50,13140,2.848,0.833,0.376,0.515,0.004,1985
2,50,13797,2.749,1.932,0.9,0.856,0.005,1940
2,50,14454,4.874,1.22,0.521,0.782,0.054,2052
2,50,15111,0.785,0.196,0.101,4.284,0.001,2060
2,50,15768,6.658,3.15,1.437,2.05,0.015,1950
2,50,16425,9.546,3.627,1.399,2.08,0.026,1943
2,50,17082,2.386,0.463,0.235,12.036,0.004,1670
2,50,17739,2.861,1.365,0.64,0.808,0.008,1717
2,50,18396,18.934,7.003,2.811,5.727,0.042,1806
2,50,19053,0.962,0.455,0.224,0.276,0.001,1650
3,10,0,9.049,6.124,2.54,3.398,0.019,1240
3,10,657,23.72,30.802,9.784,14.0,0.029,1055
3,10,1314,7.835,3.644,1.698,2.932,0.009,821
3,10,1971,3.524,6.126,2.579,1.612,0.035,939
3,10,2628,21.173,12.152,4.774,9.231,0.037,1110
3,10,3285,8.431,5.428,2.541,5.463,0.021,1204
3,10,3942,12.344,13.259,5.374,7.506,0.017,1169
3,10,4599,45.565,22.72,7.791,17.453,0.068,1267
3,10,5256,23.443,26.027,8.616,11.944,0.048,1292
3,10,5913,14.978,12.118,5.008,19.271,0.02,1361
3,10,6570,32.589,31.797,10.262,15.005,0.059,1370
3,10,7227,13.066,15.522,5.866,7.787,0.022,1118
3,10,7884,9.079,7.096,3.138,4.335,0.013,1247
3,10,8541,11.107,11.755,4.665,5.492,0.016,992
3,10,9198,10.756,10.682,4.625,5.924,0.016,1177
3,10,9855,9.953,7.932,3.413,4.792,0.052,1220
3,10,10512,10.137,11.432,4.969,6.543,0.016,1162
3,10,11169,9.037,12.072,5.726,5.392,0.151,993
3,10,11826,21.451,13.681,5.539,9.618,0.049,1066
