,dim,fs,window,rmse,nrmse,mape,smape,mae
201,3,20,13797,1.1840988268871508,0.0022771131286291363,0.42501590995536637,0.22589039840237224,0.2111347797309941
202,3,20,14454,0.35995146595913496,0.003999460732879277,0.14404931402406576,0.07229174551860994,0.10783538898013226
203,3,20,15111,1.5231306000977771,0.00200411921065497,1.1862685581259758,0.5781919352419767,4.769124889261549
204,3,20,15768,0.6447024972526302,0.0014652329483014323,0.29425203280335666,0.14806738009416714,0.2032854275264725
205,3,20,16425,1.7990271584009225,0.004862235563245737,1.5986700161823644,0.8160476014374106,0.9046161075115737
206,3,20,17082,3.077537944236228,0.004963770877800367,1.978933987793901,0.9361019487077084,12.862648112133629
207,3,20,17739,1.6822986532218136,0.004673051814505038,0.867049020691403,0.4108466912822804,0.40970052771672455
208,3,20,18396,6.968484090827431,0.015485520201838736,0.32902321344901847,0.15351032810560555,0.9357421116404884
209,3,20,19053,7.647950708892907e-15,9.441914455423341e-18,4.67647261954139e-15,2.338236309770695e-15,3.2061074662345985e-15
210,3,30,0,0.20973221897021221,0.00043694212285460876,0.06515400417216062,0.03262012744395057,0.04217870482648524
211,3,30,657,3.1590959863504677,0.003900118501667244,1.5818015595498398,0.7201935621602534,0.8724761282523344
212,3,30,1314,0.367944173469805,0.00044330623309615064,0.10897737896219759,0.05106084782160065,0.03423779472890927
213,3,30,1971,0.8894443682172013,0.008894443682172013,1.240486140819477,0.6206559513375809,0.44082912143915587
214,3,30,2628,1.9834153070843101,0.003479675977340895,1.0361584332736657,0.5231630446030369,0.6632174604723118
215,3,30,3285,2.268806196001027,0.005533673648782993,1.9494386744950811,0.9050640129550942,0.7815755744525229
216,3,30,3942,1.3818206109450378e-14,1.8929049465000517e-17,3.2883764945244958e-15,1.6441882472622479e-15,3.920982779651773e-15
217,3,30,4599,2.6479854940693386,0.003952217155327371,1.2816606362334801,0.6201586847641796,0.7560155048299289
218,3,30,5256,6.5179019494492245e-15,1.3301840713161683e-17,3.195823064725383e-15,1.5979115323626915e-15,2.38291771139058e-15
219,3,30,5913,0.6752153072391688,0.0008884411937357484,0.5121309359675832,0.18418357824425408,17.02314066098635
220,3,30,6570,1.9397182565539837,0.0035267604664617883,1.390647182159587,0.6694919285159783,0.6758020037017309
221,3,30,7227,1.099928752906598e-14,1.8642860218755898e-17,5.113285643981557e-15,2.5566428219907784e-15,4.6358580930689465e-15
222,3,30,7884,8.054750109528996e-15,1.1845220749307347e-17,1.907585784957776e-15,9.53792892478888e-16,2.144625940251522e-15
223,3,30,8541,3.458171047915591,0.005011842098428393,2.2371414804604046,1.097583943523097,1.4771672768246829
224,3,30,9198,0.013525979773353519,2.018802951246794e-05,0.0009601832474770719,0.0004804699218578356,0.0010562015722225828
225,3,30,9855,6.228070963389358e-15,3.277932085994399e-17,2.0358065363937828e-15,1.0179032681968914e-15,1.9929857222539397e-15
226,3,30,10512,0.16633349020604218,0.0002640214130254638,0.05006206642067408,0.024301112466502385,0.01613305293863706
227,3,30,11169,1.730044207231819,0.028834070120530315,1.4051168818014372,0.6771672483943705,0.6471073880031534
228,3,30,11826,7.856353433103046,0.017855348711597833,0.9525670620419733,0.3752231715203629,1.0251122624463873
229,3,30,12483,13.061108198098491,0.03731745199456712,1.2581207272898984,0.4219126752603798,1.35094730903477
230,3,30,13140,2.3180107775662346,0.0030500141810082034,1.3106546890018163,0.6600459094063682,0.8822031386545545
231,3,30,13797,8.243632749480514e-15,1.5853139902847142e-17,1.2820943882915463e-15,6.410471941457731e-16,1.7113681745441437e-15
232,3,30,14454,1.7330554179822202,0.019256171310913558,0.2094874191658316,0.09933287891456173,0.2238318798561028
233,3,30,15111,8.621880961488517e-15,1.134458021248489e-17,5.785869464873565e-16,2.8929347324367824e-16,4.1470896304055085
234,3,30,15768,2.2193626405255326e-15,5.044006001194392e-18,1.0194300369585368e-16,5.097150184792684e-17,1.7330310628295127e-16
235,3,30,16425,0.3365225844748658,0.0009095204985807184,0.11346064763562652,0.05669390205320511,0.06197637765269669
236,3,30,17082,1.0156475436726051,0.0016381411994719438,0.30541200007270164,0.15355167505946005,11.880665434631133
237,3,30,17739,0.5474042582185511,0.0015205673839404196,0.21987627712318206,0.09403687388396839,0.04591374831768887
238,3,30,18396,1.0208928133770456,0.0022686506963934348,0.04988083247147274,0.02455857250970308,0.1353151962042373
239,3,30,19053,2.1858187057154695e-14,2.6985416119944066e-17,1.8411202948165892e-15,9.205601474082946e-16,6.412214932469197e-15
240,3,40,0,8.807822423847298e-15,1.8349630049681872e-17,8.778425318254068e-16,4.389212659127034e-16,1.8196826159709883e-15
241,3,40,657,0.3312107435964249,0.00040890215258817885,0.06159105989849783,0.03192171405229315,0.029901352503658062
242,3,40,1314,2.8776927309621294e-14,3.4670996758579874e-17,1.5435275471190959e-15,7.717637735595479e-16,5.0257900822055864e-15
243,3,40,1971,4.264068695489104e-15,4.264068695489104e-17,6.498866485610672e-15,3.249433242805336e-15,2.5670522618162155e-15
244,3,40,2628,1.8182927205305757,0.00318998722900101,0.9668092964391158,0.49898367523730414,0.6319081250898031
245,3,40,3285,0.6505096600013499,0.0015866089268325608,0.20678266302987347,0.10775406006435294,0.10020247381900667
246,3,40,3942,1.2431402792275077e-14,1.7029318893527503e-17,5.32614299066661e-15,2.663071495333305e-15,5.372396294771489e-15
247,3,40,4599,1.2848928221857916,0.0019177504808743158,0.42428052981883385,0.20964429078772664,0.21538593793897265
248,3,40,5256,5.898037120030551e-15,1.203681044904194e-17,2.4424359499119973e-15,1.2212179749559986e-15,2.2962661582491043e-15
249,3,40,5913,0.6344412685745153,0.0008347911428612044,0.5031446540880513,0.17969451931716132,17.000766988801963
250,3,40,6570,0.35568259265611707,0.0006466956230111219,0.09266846656754323,0.04551473378833449,0.061270460227442446
251,3,40,7227,0.44132300587956613,0.0007480050947111291,0.09932913544764034,0.04835150906977958,0.059597481268584544
252,3,40,7884,0.3324073065082154,0.0004888342742767874,0.10118692100757593,0.050516741294788566,0.06401019041615225
253,3,40,8541,0.023766935878971364,3.444483460720488e-05,0.002319857365492985,0.0011621394008184364,0.0018558858923962153
254,3,40,9198,1.036242266258991,0.0015466302481477478,0.388067975438966,0.18342528705899191,0.18640768883727923
255,3,40,9855,2.2193626405255326e-15,1.1680856002765961e-17,8.665155314147564e-17,4.332577657073782e-17,1.7330310628295127e-16
