dim,fs,window,rmse,nrmse,mape,smape,mae
2,10,0,0.3788374620708948,0.09409266649158571,39.37275035395632,15.32401342313047,0.3051660728190996
2,10,1679,0.45372093028311844,0.09653020664279267,1175.065139344474,20.442900882115126,0.3699763357945397
2,10,3358,0.33858659047913403,0.12270001107494229,175.61046552022276,22.595492233286155,0.280972360719758
2,10,5037,0.40134746842943597,0.08403745296311506,47.67486168546065,14.771319404134509,0.3327511907986165
2,10,6716,0.4010827879653675,0.07871184939497793,215.85680069261488,23.729540792756044,0.33645706275023834
2,10,8395,0.28370623007040374,0.11207040492609271,282.99044012661636,24.594261127363172,0.23264302987758476
2,10,10074,0.3287859875899068,0.06495714204315554,156.46796250365406,17.949203204886206,0.25134928232306586
2,10,11753,0.24375766629602358,0.043390107009238524,42.423753420045465,16.625141550163335,0.22400483466140964
2,10,13432,0.4357078298437397,0.09736487817737201,1703.8774227609217,30.434211266992534,0.37313203698505076
2,10,15111,0.22287638105721908,0.03678374363473438,51.40758586039513,14.083123460351027,0.17731023518129638
2,10,16790,0.3663067765041889,0.06165881125374008,77.85062701312968,21.077827370561643,0.295762116064151
2,10,18469,0.3225328270351354,0.1229805260906197,277.8712384596954,25.374132864467875,0.26209218665941786
2,10,20148,0.1248370166169721,0.03442118056578813,117.0219556581663,18.793349702998153,0.10193228848738731
2,10,21827,0.27347498031445766,0.08937334253352429,303.69523299663103,26.072754420730384,0.22278330153095607
2,10,23506,0.2608602142023396,0.10704446057790254,287.62531218976966,23.530127312392253,0.19308783483537856
2,10,25185,0.1928590086689519,0.033537100425364154,126.28990294489309,15.577195995568683,0.16735720487768485
2,10,26864,0.5083601835448714,0.04753976922101472,111.60667412507539,20.379629161369298,0.3948172507745248
2,10,28543,1.1966176632123249,0.10742193228438819,4916.465442821402,29.16159502796763,0.742474713795544
2,10,30222,1.0612741026283459,0.12231474784200418,104.39321000401871,28.164154758840628,0.7456817839673068
2,10,31901,1.9367368761587302,0.17398392668511387,1671.2555318108098,54.95339192356914,1.6430613931506481
2,10,33580,0.4400498223707436,0.06652269160542165,134.3087340788926,28.854175682092137,0.3815770985860756
2,10,35259,0.44349631834919706,0.0635846131627976,87.29162566855206,22.717379471582667,0.3444087320240237
2,10,36938,0.24282052486008487,0.05269599819010294,819.7701183510692,17.440180783476958,0.2544153316884288
2,10,38617,0.21478239232048074,0.07562050240421342,590.6170768394813,19.570972852467207,0.18414003322946887
2,10,40296,0.2607555601607181,0.044466803686994155,26.595263516227025,14.840643754168752,0.203348660389804
2,10,41975,0.2740227203261326,0.051337387997647116,66.6895845956624,21.01092466885264,0.2305376679703622
2,10,43654,0.3508170286604332,0.15889891686766608,265.170976195563,25.11920445228752,0.2939838759203906
2,10,45333,0.3641565621168053,0.0970924502418112,58.61005685453452,16.929621840270766,0.2949790432281162
2,10,47012,0.35717057321137174,0.12290656447586305,96.85317054309382,22.627794670423455,0.31060149160318856
2,10,48691,0.49034996514186124,0.1393957098246459,193.4025438815243,27.13840289361989,0.4114893892701696
2,20,0,0.2991984913355191,0.07431256588544621,34.930714402338104,12.930056973886813,0.2329247154667227
2,20,1679,0.4032825448835781,0.08579932023138483,228.2391425927267,20.196780292629505,0.34398049413678494
2,20,3358,0.21026976468024128,0.07619942189228869,46.55466830753679,14.88532763511311,0.1642184155667205
2,20,5037,0.3412420563236381,0.0714520845728876,24.98710497927272,11.796406341253531,0.2770723777429551
2,20,6716,0.2971714889493458,0.058319424778412586,66.54178408966183,18.809662711826974,0.24582514677846326
2,20,8395,0.27926208153953197,0.1103148653128706,285.17117555700526,24.56245778395559,0.22873183141790543
2,20,10074,0.26624112518938736,0.05260036388237945,66.55270376028388,15.089662414986266,0.19057993508893464
2,20,11753,0.17992172646075727,0.032026984353133975,28.541276391171095,11.88583881126637,0.1609954833063786
2,20,13432,0.3815552307302697,0.0852637387106748,1300.5137925473528,29.17598046336325,0.33638601863277934
2,20,15111,0.16463964645538273,0.02717229398019223,39.150601428383624,11.995710044440964,0.13620871117066147
2,20,16790,0.21691711839320868,0.03651270606662964,20.645423913489658,9.140642979573483,0.13624934754834844
2,20,18469,0.21552428574995186,0.0821785809850194,212.64082784178444,19.675027543294455,0.1705672681917901
2,20,20148,0.10157001364845852,0.02800579407140236,80.64585985451322,16.814095229213873,0.08496259436851927
2,20,21827,0.1653544584765076,0.054038876389618504,198.66900890760607,18.91778786459001,0.1311091640236046
2,20,23506,0.1805593467413068,0.0740928544175377,205.90870182225999,18.63214044969607,0.13585836179198177
2,20,25185,0.11731804003026597,0.020400949467471428,71.77115179784752,12.017368278960086,0.11056840516375405
2,20,26864,0.34583943240734977,0.03234149199004079,72.42807504260928,14.741627612473323,0.21366213874851198
2,20,28543,0.9229698840906869,0.08285621333982177,2285.4938385721407,21.085621392326647,0.5291385147391117
2,20,30222,0.814373417287747,0.09385876743631896,110.83269975998336,28.989017138204176,0.6540578294915029
2,20,31901,1.090726260497224,0.09798379949074944,1146.6447292168498,45.691736017609244,0.984192973397431
2,20,33580,0.25711481320603824,0.038868256630452,65.07044132631722,16.999787263347887,0.19081497385060914
2,20,35259,0.26080685161955447,0.0373921994035118,51.907299949560205,14.236010526173379,0.18468392593466235
2,20,36938,0.11028792317896283,0.02393427081000506,440.58876077793263,10.083822193307471,0.14857145269588398
2,20,38617,0.18966984835074271,0.06677888754406268,221.47955241638377,16.947898951756844,0.14439721490978183
2,20,40296,0.1360886734406974,0.023207283948925635,15.623250706049197,8.040707422910604,0.10533827592444713
2,20,41975,0.16919213818183232,0.03169767249100588,40.69837192600239,14.09567826821499,0.13706421852301676
2,20,43654,0.34387047878911176,0.15575254950136413,161.05296554135785,18.650033892689592,0.21101960287928243
2,20,45333,0.2734745594689131,0.07291455879111654,35.13806135898265,13.641043373432996,0.21075161313308832
2,20,47012,0.2551924037067339,0.08781468567784452,69.73699579541899,17.25609216115791,0.2127052141229964
2,20,48691,0.39039311231525103,0.11098017512062705,85.31178378310914,23.326136450366082,0.32602176427159457
2,30,0,0.3264830764709331,0.08108929634782944,35.199142188243336,14.464762162752114,0.26438501680760657
2,30,1679,0.35497466397439636,0.07552170371559185,162.08298003582848,18.177155080635238,0.30223181764900936
2,30,3358,0.2472306046308787,0.089593618823906,82.47122818287306,17.801773760064542,0.20391897352239255
2,30,5037,0.30653758421988947,0.06418537512174456,17.648444944434125,8.450964158448839,0.2003568885650297
2,30,6716,0.29335342810142556,0.05757013650312437,51.133556494502976,18.1918036796197,0.24495111808212977
2,30,8395,0.18599858677194117,0.07347366651074112,82.7667096825993,18.105026045618928,0.15382018455942598
2,30,10074,0.17014426396119944,0.0336148301299902,26.981355459181046,10.719593130315266,0.1373361149397128
2,30,11753,0.27950167262776554,0.04975272231992869,48.368749565851616,17.529070596734947,0.2385512551955524
2,30,13432,0.30134422666690835,0.06733949199260522,160.22959356947072,25.565328278409368,0.26876348358952484
2,30,15111,0.13636517092177247,0.0225058459047998,30.932370711470902,9.328402196053096,0.10568623428604101
2,30,16790,0.22770957913785286,0.03832935359460624,27.839629141416705,10.02788875422019,0.13125036776498508
2,30,18469,0.15840671396106004,0.0603998706063346,78.19277151933824,15.812667477486823,0.1272979007554493
2,30,20148,0.07313674446022786,0.02016591837326197,51.37515949642007,12.82803429237496,0.0605029923364972
2,30,21827,0.16023057562941415,0.05236435926827758,192.25988067698984,19.452346184860605,0.13055206951993237
2,30,23506,0.1580977432355377,0.06487569480451684,201.57270817443583,18.936721816866044,0.12879486879040314
2,30,25185,0.11787833158825063,0.020498381028368175,43.17076908634014,9.494758219426606,0.09255361193215847
2,30,26864,0.16885786730599678,0.015790898466719223,52.119205097228374,11.0600207634021,0.12159226774363403
2,30,28543,0.537061215729669,0.04821268757959739,1655.148383930775,12.014257453982578,0.1967899413621162
2,30,30222,0.5678990334457027,0.06545191944625685,88.8569939621054,22.304331123191883,0.41974714956137177
2,30,31901,1.549450330809235,0.13919260591165886,289.0963750553136,48.29238604003107,1.2454991274326408
2,30,33580,0.18967130152850026,0.028672765801843955,44.53014424310641,14.092113890051698,0.14518466869719315
2,30,35259,0.2519600835687331,0.03612382737655495,42.16488152121446,13.78732415513562,0.17293359854699641
2,30,36938,0.15288978513436127,0.033179566864736214,21.649496509154652,8.183274492510268,0.1525865121263219
2,30,38617,0.07786969003213044,0.027416330634327177,46.61920881873634,8.124480111836098,0.06436952450785198
2,30,40296,0.08819846790280851,0.01504053817801835,11.975551882040996,5.753962796604214,0.0677061020974623
2,30,41975,0.31159794630166954,0.0583770011826763,79.32486558529206,23.883981815555796,0.2670282703231231
2,30,43654,0.5214067844702609,0.23616576885146337,75.1718941115782,17.54756058889142,0.25157297682206153
2,30,45333,0.2529188212860864,0.06743392986849497,34.4540214522234,13.813146147506753,0.18978649330015213
2,30,47012,0.2613502974723979,0.08993368882062919,46.55159862751042,16.554447224329422,0.2115785405930151
2,30,48691,0.24096309443970756,0.06850050775724774,20.79271677926108,7.2599413745372265,0.130523146090195
2,40,0,0.25830914390946436,0.06415679166663793,24.158272050040548,9.475218623527109,0.17321375934674374
2,40,1679,0.36093615496410036,0.0767900250971428,46.1446500339546,16.368560887913446,0.30983843833102787
2,40,3358,0.2142864955751966,0.07765504045237001,51.30797116430299,15.009832693232806,0.162066783257341
2,40,5037,0.26174018940077814,0.05480532602186328,13.971835931700172,6.901695094091713,0.16138210408659862
2,40,6716,0.2803476994734683,0.055017783263961895,37.92182236055564,14.32302304216438,0.21619591479025846
2,40,8395,0.1817403955490585,0.07179158425797293,63.901775758290555,18.727588523713344,0.15239668285564392
