variable,rmse,mae,mape,r2,smape,nrmse
CO(GT)(t),42.281,23.267,855.025,-0.014,51.745,inf
PT08.S1(CO)(t),156.172,105.378,20.297,0.476,6.297,0.156
NMHC(GT)(t),23.889,18.069,8.268,0.079,4.822,inf
C6H6(GT)(t),15.722,8.25,48.275,0.422,21.073,0.163
PT08.S2(NMHC)(t),177.595,126.474,23.763,0.537,8.187,0.146
NOx(GT)(t),118.691,85.141,48.48,0.355,24.473,inf
PT08.S3(NOx)(t),177.416,127.159,29.386,0.433,8.233,0.157
NO2(GT)(t),76.128,47.513,34.932,0.163,20.433,inf
PT08.S4(NO2)(t),209.07,140.552,25.793,0.441,6.404,0.149
PT08.S5(O3)(t),229.757,178.225,30.145,0.458,11.234,0.155
T(t),15.293,7.868,23.505,0.014,11.203,0.213
RH(t),20.643,12.479,17.945,0.198,9.726,0.193
AH(t),12.544,5.803,104.472,-166.412,24.595,1.322
