variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
CO(GT)(t),39.083,20.713,765.794,0.068,52.585,inf,28.962,25.604,1159.843,0.601,25.598,
PT08.S1(CO)(t),157.615,106.086,20.633,0.463,6.292,0.157,133.872,94.891,48.929,0.346,9.089,0.074
NMHC(GT)(t),23.7,17.484,8.016,0.079,4.533,inf,65.177,51.922,24.068,0.228,14.176,
C6H6(GT)(t),15.865,8.211,45.646,0.4,21.09,0.166,30.088,19.543,26.437,0.404,10.934,0.104
PT08.S2(NMHC)(t),179.203,127.308,24.189,0.533,8.23,0.147,130.45,96.067,47.997,0.292,9.101,0.061
NOx(GT)(t),118.034,82.838,49.447,0.33,23.919,inf,58.186,51.416,30.997,0.439,13.955,
PT08.S3(NOx)(t),166.588,119.216,26.639,0.498,7.958,0.149,163.2,114.995,57.21,0.471,8.999,0.09
NO2(GT)(t),75.43,46.077,35.019,0.147,19.756,inf,44.162,38.666,21.75,0.47,14.735,
PT08.S4(NO2)(t),211.032,141.343,26.39,0.445,6.333,0.148,194.922,138.151,70.692,0.283,9.108,0.061
PT08.S5(O3)(t),232.483,178.613,31.817,0.457,11.054,0.156,128.581,100.663,49.725,0.522,9.507,0.062
T(t),15.208,7.725,22.086,0.069,10.501,0.204,32.193,20.697,22.997,1.377,10.483,0.158
RH(t),20.197,12.109,17.666,0.218,9.576,0.189,29.59,19.325,12.813,1.352,9.834,0.142
AH(t),12.445,5.586,86.535,-107.555,22.29,1.118,29.54,18.603,199.086,356.253,27.132,2.142
