,window,rmse,mape,mae,r2,smape,nrmse
0,0,0.32054343864648965,22.454112639423087,0.20323614065302847,0.7754989424565054,10.044317998680663,0.07961405586384694
1,1680,0.3200874593549939,127.6230854424441,0.19098220941840935,0.7816553649121207,10.75433804797099,0.06809936798821221
2,3360,0.19668564319534274,71.2874730465484,0.127593625342633,0.7993872582503683,11.13515321065713,0.07127668749137292
3,5040,0.2926330365982451,17.452589858538353,0.1662188163563842,0.8393228038875307,7.140157688645751,0.061273925919635604
4,6720,0.24582447113848124,74.98949501072161,0.1543949325729475,0.8195684952165035,11.739423042724194,0.048242655457762997
5,8400,0.15957763912178824,95.12424582044464,0.08819704039737322,0.8363720022285246,12.086624238972416,0.06303679206865029
6,10080,0.2641776545959577,47.146851245031364,0.14748709238987437,0.8385502236464356,10.916288739149591,0.05219269093554308
7,11760,0.2829482897880347,13.860141005680099,0.11064174915319135,0.6361496936806523,6.781953062245112,0.05036623774152098
8,13440,0.2642182048384738,364.81232552265936,0.15617102797834453,0.7667134056126705,14.51920377723809,0.05904317426558074
9,15120,0.3585023368075633,35.55249373672885,0.17513571282097104,0.7348800961644968,16.081107684810913,0.05916758871904463
10,16800,0.3604693534576733,24.713711455721374,0.1581288982614346,0.568252881691622,9.919383201955931,0.060676223464160316
11,18480,0.22061834570271316,109.29120707595192,0.15052734254645708,0.7315783451021124,15.970694239695463,0.08412092644698844
12,20160,0.18519093343206072,48.985164575634656,0.0897916569159612,0.6588506015034671,17.961298071763828,0.05106250318661631
13,21840,0.17711577646855095,55.48433801572503,0.08826591841377478,0.6758730804533932,11.445772642215504,0.05788254903689293
14,23520,0.19726031013141437,136.12814674156138,0.12162238059620195,0.6846094978356805,16.019446651199182,0.0809461249428723
15,25200,0.45277184641905494,66.00103362983185,0.1817692123268267,0.42728441188721467,14.141866842451043,0.07873448581911101
16,26880,1.0080994520056699,117.2203513661947,0.7374315151163522,0.784853460296755,29.563468482814052,0.09427334565424472
17,28560,1.370000421042961,2429.0977537411945,0.9245145071377852,0.7137903323081098,32.70619780802498,0.12298672916442412
18,30240,0.7321374220898569,35.46676145230149,0.3431061881998981,0.8474675114483587,13.892163030934535,0.0848828738218465
19,31920,0.7263022331545876,74.13557296222639,0.3589115619538402,0.8853980758250972,18.90842077811186,0.06524629960835511
20,33600,0.25920832725971754,37.297223001235274,0.14873862764511203,0.854559257663598,12.362121557208429,0.05919845475668596
21,35280,0.7232072810269649,43.74116966782812,0.3035116888350868,0.6182447163411734,15.043524478767804,0.10765564252040233
22,36960,0.3556774406206434,260.23673265903346,0.18867568716124805,0.7162709915257127,16.069094375769666,0.0771877821201713
23,38640,0.23318323768875673,325.56620383537967,0.1222728131529631,0.6848654805025115,11.732567064163197,0.09164326682404
24,40320,0.4312927690014678,44.103526444929145,0.2080841416406232,0.3903346145109611,13.349414179537506,0.07208918433214186
25,42000,0.31024645433529885,24.493916815427266,0.12805949533122188,0.5266652233784836,10.268431823974481,0.05812380295381886
26,43680,0.24231520983465896,89.0968772574419,0.16195972400999295,0.718944453047945,15.17045222885232,0.10975414885164368
27,45360,0.3168758310736123,26.540790579816292,0.20141713817280996,0.7379037775806834,11.657188992070834,0.08505135439611677
28,47040,0.23608143259286404,29.460311121832493,0.148267833622129,0.7122771703503337,10.981349278364236,0.08123837738266715
29,48720,0.25014604090013776,55.59075666656999,0.1645327229963476,0.7828796880660629,12.988571901523827,0.07111101745670913
