window,rmse,nrmse,mape,smape,mae
0,0.1236182995,0.03070334007,8.694348573,4.112859812,0.06183188823
1679,0.1434688833,0.03052334603,19.47802964,5.128269981,0.07492668015
3358,0.1751582785,0.06347541018,22.68949677,9.304283838,0.1132359324
5037,0.1561650123,0.03269912211,6.160861469,3.437117066,0.07714538456
6716,0.01624806438,0.003188656394,1.773557375,0.4543205192,0.00484078441
8395,0.1205393942,0.04761579862,11.15262033,4.211189106,0.04938122128
10074,0.05365892015,0.01060121243,3.981269314,1.743002521,0.02075586473
11753,0.1318822179,0.02347570698,15.88841454,6.646938414,0.09530690301
13432,0.1176753745,0.02629617306,18.17513712,4.838068999,0.06924670384
15111,0.07587947626,0.01252322561,7.37372932,4.088156047,0.06445564426
16790,0.02012667312,0.003387834512,0.8472205905,0.4112079893,0.005713069429
18469,0.04172973303,0.01591138666,7.431131445,3.230651083,0.02279272146
20148,0.05285335941,0.01457320174,8.608180596,4.186841217,0.03223811731
21827,0.04001971746,0.01307869522,7.150725153,3.189164374,0.01991502571
23506,0.05909219323,0.02424858834,10.47043911,3.591766518,0.0226982132
25185,0.08030813226,0.01396513399,8.011638956,3.296034763,0.05374530799
26864,0.05527985428,0.005169546318,4.640198491,2.306595623,0.0264604293
28543,0.08526689379,0.007654520548,847.5824443,7.156223903,0.04472351828
30222,0.6578474285,0.07581871841,51.68328549,12.12587716,0.2937471782
31901,0.4978409866,0.04472281742,73.85750436,14.65500462,0.2093738323
33580,0.2887624212,0.04365245142,29.49350281,8.974215526,0.1187162292
35259,0.06098962997,0.008744158334,10.21270783,4.547126136,0.04052448796
36938,0.01085815147,0.002356395245,4.879351786,0.6826046357,0.06744408457
38617,0.07384190428,0.02599822937,8.429858533,2.96426173,0.03095177087
40296,0.04083887006,0.006964277259,2.668200489,1.285900814,0.01605552458
41975,0.06996068296,0.01310693771,4.686624371,2.264515015,0.02961404907
43654,0.1768743027,0.08011337201,11.20439123,4.66797636,0.07629093367
45333,0.0602843009,0.01607317043,5.700837408,2.405484683,0.02449871783
47012,0.1041932352,0.03585410875,8.367173897,3.991845157,0.05868827417
48691,0.1168603309,0.03322082172,5.216557034,2.663513657,0.05177275807
