window,rmse,mape,smape,mae,nrmse
0,0.037,1.236,0.52,0.007,0.009
1679,0.048,0.831,0.27,0.005,0.012
3358,0.017,0.305,0.113,0.001,0.006
5037,0.018,0.392,0.188,0.003,0.004
6716,0.034,1.675,0.671,0.007,0.009
8395,0.086,5.507,2.055,0.021,0.032
10074,0.004,0.088,0.043,0.0,0.001
11753,0.007,0.202,0.102,0.001,0.002
13432,0.046,1.692,0.69,0.008,0.011
15111,0.004,0.265,0.129,0.013,0.001
16790,0.036,1.754,0.817,0.007,0.005
18469,0.009,2.023,0.599,0.002,0.001
20148,0.003,0.513,0.19,0.0,0.001
21827,0.016,2.157,0.855,0.004,0.006
23506,0.044,0.897,0.392,0.005,0.013
25185,0.005,0.306,0.155,0.001,0.001
26864,0.356,7.175,1.031,0.057,0.03
28543,0.022,0.379,0.173,0.003,0.002
30222,0.072,2.711,0.784,0.011,0.008
31901,0.061,2.99,0.758,0.009,0.005
33580,0.078,2.45,0.837,0.011,0.014
35259,0.013,0.721,0.334,0.003,0.002
36938,0.009,0.242,0.116,0.022,0.001
38617,0.007,0.281,0.136,0.001,0.002
40296,0.005,0.189,0.096,0.012,0.001
41975,0.021,1.325,0.594,0.005,0.005
43654,0.047,1.226,0.575,0.008,0.018
45333,0.012,0.485,0.225,0.002,0.004
47012,0.04,2.187,0.492,0.006,0.014
48691,0.037,1.31,0.509,0.006,0.01
