,window,rmse,mape,mae,r2,smape,nrmse
0,0,87.46608419979594,53.435185994728684,53.73089652783943,0.4435088094002493,21.71588576697944,0.1822210087495749
1,658,123.13154139438711,90.40780674749827,86.37970204208837,0.1948155369639838,28.67429488375582,0.1520142486350458
2,1316,114.43677299723808,75.03049043934288,73.46461445201527,0.5407586584460733,25.943588454884832,0.1378756301171543
3,1974,13.355000823604026,30.72695205078299,10.105752216685902,0.5638031459276689,11.904979768136569,0.13355000823604027
4,2632,64.0539514694127,33.87617353111316,34.97500305175781,0.4509446395111416,14.566979584140476,0.11237535345510999
5,3290,51.56933544613063,43.270483854291264,29.537913143273556,0.42059064571705695,17.13411817605273,0.12577886694178203
6,3948,104.1036251167424,46.55993806653601,59.639227479876894,0.37684836918111786,19.61030270224321,0.14260770563937317
7,4606,69.43865055925927,44.60841737598179,36.94717362143776,0.43513485882904124,17.580890755492753,0.10363977695411832
8,5264,70.32095229932789,47.650170814225014,43.729970666133994,0.14346073833489226,18.710790299821042,0.14351214754964875
9,5922,104.08822871934198,72.71845540233397,65.58662809892134,0.37215749089064976,24.349667523637287,0.13695819568334472
10,6580,61.591486552917395,43.919120108577935,29.55363481695002,0.19823666022244402,17.29329668244755,0.11198452100530436
11,7238,67.77705488038376,33.78266486787378,34.32469674312707,0.47011467347520575,15.636370777788905,0.11487636420404027
12,7896,66.21674339068096,44.870487025196695,32.6429940888376,0.5879721741035211,15.749719988243324,0.09737756380982494
13,8554,103.85777906179385,51.794262860000984,58.364040143562086,0.42155479349165714,20.246167965551795,0.15051852037941138
14,9212,80.31793387976143,46.44653361185574,46.13866581772313,0.38988214374564023,18.11963007271919,0.11987751325337527
15,9870,37.753310562022804,26.436443904074935,18.86178216645212,0.5733212122573856,11.170911878960643,0.06991353807782001
16,10528,93.65854848497396,45.87453893529473,53.492430854566166,0.3303816831277875,19.235063500486863,0.14866436267456185
17,11186,9.712782186148493,17.30122952839685,7.491864360462536,0.18064320759133035,7.891222560835836,0.16187970310247488
18,11844,64.03602593929851,31.43566363258011,30.78426550662879,0.12416504379417292,13.99386187521903,0.1455364225893148
19,12502,30.07434225263685,20.314880568183813,15.988399043227687,0.5263541763930051,9.66969140946929,0.085926692150391
20,13160,77.22640871278224,32.37515473060195,39.248830205743964,0.41806496366199175,14.822617550834002,0.10161369567471348
21,13818,39.47984811059735,26.33437679596024,18.632401645544803,0.6592582753356817,11.289182349030023,0.07592278482807183
22,14476,33.1292962733398,26.308337011769044,19.320510933615946,0.27077298556706064,11.513446276337746,0.08080316164229219
23,15134,98.43257287027552,76.10610573061976,65.46473397919625,0.3179980825725258,25.75597781318978,0.12951654325036252
24,15792,41.419091302735026,26.779041391179376,21.80363857384884,0.23513678910203106,11.641715157000972,0.10899760869140797
25,16450,38.502653536286175,27.403072349401253,19.445668029785157,0.12616495732233612,12.66228482117883,0.10406122577374642
26,17108,110.82639122963877,62.31599012144229,73.26784237948331,0.38686265081043925,24.377298802774874,0.1787522439187722
27,17766,29.96192805390083,25.873466348598345,17.39930736657345,0.27058105155546663,11.796918721729172,0.08322757792750231
28,18424,57.52992218257607,31.306776617710398,31.710056443647904,0.5395006759360204,13.287260585313842,0.12784427151683572
29,19082,107.10963639512892,54.85889395103582,69.30266365098076,0.4955006224047981,22.152244134838238,0.132234119006332
