,window,rmse,mape,mae,r2,smape,nrmse
0,0,85.33833736773327,57.00190727405706,53.51988271077474,0.4702544946363816,21.561937350719212,0.17778820284944433
1,658,105.71553779307736,66.2766044363832,69.25484995986476,0.4064813082804639,23.97716185119729,0.13051300962108317
2,1316,109.48889905381861,53.62029231212243,63.849484114213425,0.5796123496832355,21.093038093524026,0.13191433620942003
3,1974,13.96069822377158,30.814201741329285,10.54635775017016,0.5233397135714752,12.267557767281506,0.1396069822377158
4,2632,66.48328333449608,33.52395059448012,34.95996484467477,0.4085075550944284,14.391508384146148,0.11663733918332646
5,3290,50.148991571719534,41.35664663635331,28.800369886918503,0.45206777689331556,17.631020630066562,0.12231461358955983
6,3948,107.6179635181984,47.858482111021786,62.953712394020776,0.3340654166896422,20.48189544488297,0.14742186783314848
7,4606,63.74463502159179,35.20761554166692,30.91540010625666,0.5239752786636482,14.881001681464367,0.09514124630088328
8,5264,67.91655711760689,44.043811348125246,41.243474116469876,0.20103250248727367,18.546998343109404,0.138605218607361
9,5922,101.62552493104381,59.104765297167596,61.27919703830372,0.4015152557657269,22.894251449342114,0.13371779596189975
10,6580,61.89384633743979,43.177774619894365,29.390257147586706,0.19034543886378796,17.19563395292705,0.11253426606807235
11,7238,68.16089699806344,31.056674261839223,33.198793630888964,0.4640958742657142,14.958348287641504,0.1155269440645143
12,7896,74.78353593465418,56.220941768521804,41.01437713738644,0.4744634782441869,22.419669004219152,0.10997578813919733
13,8554,104.7747913349282,54.219365415866505,61.327523572517165,0.4112949338159346,22.466654520817052,0.151847523673809
14,9212,86.18954965940144,56.93303586706708,52.67836304866906,0.29741657063884186,21.72477222173245,0.128641118894629
15,9870,38.14447820716937,27.069175817019563,19.955663484515565,0.5644336425493457,11.395752170505196,0.07063792260586921
16,10528,100.27439328174908,47.52416910278767,57.6404721809156,0.23243959183174323,20.017669367807088,0.15916570362182395
17,11186,9.828492756991357,17.481648238981613,7.7645740162242545,0.161004554863155,8.157848921721415,0.16380821261652262
18,11844,61.78369461382682,32.312855685838244,30.19976210160689,0.18469279297487295,13.744087586304698,0.1404174877586973
19,12502,29.781315014576393,23.6414894365628,16.9596762454871,0.5355390806250987,10.833147828680843,0.08508947147021827
20,13160,81.81417079310108,40.352400466964454,46.89522466948538,0.34686960797843425,17.93992919195032,0.10765022472776459
21,13818,43.00059827771368,28.266253683658093,21.19378678292939,0.5957748162993576,11.873503316618345,0.08269345822637246
22,14476,33.44933134832282,26.36391908713054,19.975998572147255,0.256616001457724,11.792731920045648,0.08158373499590932
23,15134,95.50768711970896,70.59834720819114,60.1036545493386,0.3579267486612857,22.023880606127445,0.1256680093680381
24,15792,43.45097018311076,27.68472168258122,23.631961036450935,0.1582529657692956,12.481221067076792,0.11434465837660727
25,16450,39.20941559735557,29.024166204010125,20.409290799227627,0.09378995299087545,13.536949509824106,0.10597139350636642
26,17108,109.2247831868743,58.61007732766003,70.72282261703954,0.40445611332805376,23.218118844661404,0.17616900514011985
27,17766,26.891775873872547,24.21536247271085,16.349062023740828,0.41240716238778596,11.257580656654454,0.07469937742742375
28,18424,60.23796563826352,41.77252248109296,37.879217205625594,0.4951271500230394,16.531122752775527,0.1338621458628078
29,19082,123.84433190882757,61.417309964824916,81.64423524821463,0.32554059659770784,22.65445489560714,0.15289423692447848
