window,rmse,mae,mape,smape,nrmse
0,0.084,0.032,3.043,1.408,0.011
68309,0.092,0.035,1.786,0.879,0.012
136618,0.139,0.041,7.421,3.068,0.018
204927,0.047,0.011,2.993,1.297,0.007
273236,0.053,0.009,0.757,0.437,0.007
341545,0.066,0.019,2.286,1.097,0.009
409854,0.041,0.008,0.544,0.296,0.005
478163,0.082,0.03,2.293,1.225,0.009
546472,0.1,0.035,4.565,2.072,0.015
614781,0.046,0.019,4.926,2.226,0.007
683090,0.082,0.046,11.393,4.814,0.009
751399,0.086,0.044,13.347,5.287,0.012
819708,0.015,0.005,3.368,1.449,0.014
888017,0.072,0.026,3.123,1.534,0.009
956326,0.045,0.011,0.598,0.29,0.005
1024635,0.082,0.025,1.434,0.69,0.01
1092944,0.101,0.039,7.0,2.731,0.009
1161253,0.08,0.028,3.645,1.704,0.01
1229562,0.083,0.038,10.599,4.17,0.01
1297871,0.006,0.001,0.066,0.034,0.001
1366180,0.053,0.016,2.059,1.001,0.008
1434489,0.103,0.043,6.436,2.797,0.012
1502798,0.102,0.032,3.531,1.573,0.012
1571107,0.066,0.014,0.923,0.519,0.007
1639416,0.064,0.022,2.371,1.147,0.011
1707725,0.06,0.025,4.07,1.889,0.008
1776034,0.082,0.043,10.39,4.444,0.011
1844343,0.007,0.002,0.8,0.403,0.004
1912652,0.068,0.026,3.94,1.836,0.01
1980961,0.011,0.004,0.095,0.048,0.001
