window,rmse,mae,mape,smape,nrmse
0,0.394,0.172,16.528,6.998,0.05
68309,0.323,0.119,8.533,3.983,0.041
136618,0.327,0.117,14.122,5.955,0.043
204927,0.265,0.093,15.215,6.619,0.037
273236,0.198,0.065,11.172,5.297,0.027
341545,0.283,0.101,11.32,5.283,0.038
409854,0.294,0.108,8.339,3.857,0.032
478163,0.33,0.129,8.473,3.87,0.035
546472,0.256,0.095,8.453,3.936,0.038
614781,0.289,0.102,8.795,4.078,0.043
683090,0.277,0.101,11.548,5.001,0.031
751399,0.268,0.105,16.01,6.764,0.038
819708,0.08,0.037,22.895,10.862,0.077
888017,0.276,0.104,9.285,4.23,0.034
956326,0.3,0.119,8.888,4.01,0.036
1024635,0.265,0.095,9.097,4.135,0.031
1092944,0.285,0.1,8.569,3.924,0.026
1161253,0.275,0.102,8.447,3.935,0.036
1229562,0.233,0.085,11.152,4.962,0.027
1297871,0.137,0.054,12.086,5.374,0.03
1366180,0.252,0.099,13.397,5.919,0.038
1434489,0.286,0.112,10.034,4.59,0.034
1502798,0.295,0.116,9.077,4.144,0.036
1571107,0.257,0.098,6.004,2.893,0.029
1639416,0.236,0.094,9.437,4.284,0.039
1707725,0.237,0.095,10.059,4.794,0.033
1776034,0.253,0.098,12.491,5.429,0.034
1844343,0.108,0.046,14.828,6.224,0.056
1912652,0.242,0.093,9.027,4.104,0.036
1980961,0.218,0.082,8.757,4.015,0.023
