window,rmse,mae,mape,smape,nrmse
0,0.395,0.173,16.933,7.304,0.051
68309,0.323,0.12,8.541,3.994,0.041
136618,0.326,0.119,14.324,6.163,0.043
204927,0.265,0.094,15.261,6.675,0.037
273236,0.199,0.07,13.241,6.611,0.027
341545,0.283,0.102,11.432,5.352,0.038
409854,0.294,0.108,8.332,3.858,0.032
478163,0.331,0.133,9.088,4.139,0.035
546472,0.256,0.095,8.726,4.044,0.038
614781,0.29,0.106,9.318,4.518,0.043
683090,0.284,0.132,18.628,9.976,0.032
751399,0.269,0.113,18.155,8.458,0.039
819708,0.082,0.041,26.631,13.619,0.079
888017,0.276,0.108,10.247,4.626,0.035
956326,0.302,0.129,9.279,4.317,0.036
1024635,0.268,0.109,12.467,5.522,0.031
1092944,0.298,0.149,19.37,8.298,0.027
1161253,0.275,0.103,8.65,4.015,0.036
1229562,0.233,0.088,11.107,5.071,0.027
1297871,0.138,0.058,13.522,5.899,0.031
1366180,0.254,0.107,17.024,7.169,0.038
1434489,0.286,0.113,10.26,4.686,0.034
1502798,0.296,0.118,9.399,4.295,0.036
1571107,0.258,0.105,6.54,3.207,0.029
1639416,0.239,0.1,10.443,4.704,0.04
1707725,0.239,0.105,11.501,5.728,0.034
1776034,0.253,0.102,12.948,5.691,0.034
1844343,0.11,0.052,17.626,7.413,0.057
1912652,0.258,0.142,19.927,8.439,0.039
1980961,0.221,0.088,7.968,3.817,0.023
