window,rmse,mape,smape,mae,nrmse
0,0.393,11.197,4.303,0.141,0.05
68309,0.324,6.799,3.148,0.109,0.042
136618,0.325,10.481,4.313,0.105,0.043
204927,0.267,8.771,3.875,0.076,0.037
273236,0.193,7.48,3.505,0.054,0.026
341545,0.282,7.543,3.473,0.089,0.038
409854,0.294,6.258,2.901,0.094,0.032
478163,0.329,6.109,2.83,0.115,0.035
546472,0.256,5.818,2.712,0.081,0.038
614781,0.289,6.258,2.9,0.089,0.043
683090,0.276,8.538,3.766,0.088,0.031
751399,0.266,12.026,5.162,0.091,0.038
819708,0.077,10.854,4.615,0.023,0.074
888017,0.274,7.155,3.262,0.091,0.034
956326,0.3,6.772,3.063,0.104,0.036
1024635,0.265,5.282,2.454,0.077,0.031
1092944,0.285,5.711,2.641,0.086,0.026
1161253,0.274,6.809,3.19,0.091,0.035
1229562,0.23,7.931,3.554,0.071,0.027
1297871,0.133,7.951,3.42,0.04,0.03
1366180,0.252,10.486,4.598,0.086,0.038
1434489,0.285,8.02,3.651,0.099,0.034
1502798,0.295,6.807,3.102,0.101,0.036
1571107,0.254,4.6,2.199,0.085,0.029
1639416,0.234,6.293,2.945,0.08,0.039
1707725,0.235,7.127,3.307,0.08,0.033
1776034,0.25,9.223,4.124,0.085,0.034
1844343,0.105,8.726,3.756,0.032,0.054
1912652,0.238,6.996,3.217,0.079,0.036
1980961,0.214,5.41,2.547,0.066,0.023
