variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.381,0.184,94.315,0.679,11.994,0.058
gen [kW](t),0.035,0.018,inf,0.874,36.525,0.073
Dishwasher [kW](t),0.065,0.019,inf,-70650.755,94.099,7.381
Furnace 1 [kW](t),0.068,0.032,65.574,0.68,20.271,0.085
Furnace 2 [kW](t),0.064,0.033,25.919,0.206,9.911,0.12
Home office [kW](t),0.025,0.012,17.585,-0.278,8.418,0.08
Fridge [kW](t),0.029,0.013,109.356,0.825,24.681,0.053
Wine cellar [kW](t),0.015,0.007,48.358,0.875,15.12,0.081
Garage door [kW](t),0.012,0.002,8.424,0.03,3.932,0.034
Kitchen 12 [kW](t),0.007,0.002,inf,-696.257,35.891,0.632
Kitchen 14 [kW](t),0.055,0.011,inf,-244.184,93.301,0.212
Kitchen 38 [kW](t),0.0,0.0,inf,0.002,66.176,0.0
Barn [kW](t),0.125,0.026,inf,-0.038,16.974,0.048
Well [kW](t),0.112,0.021,inf,-90.058,75.471,0.172
Microwave [kW](t),0.072,0.012,inf,-1.165,46.336,0.073
Living room [kW](t),0.023,0.011,inf,-202.433,58.088,0.373
Solar [kW](t),0.035,0.018,inf,0.867,36.99,0.073
temperature(t),1.995,1.203,2.936,0.907,1.503,0.063
humidity(t),0.033,0.021,3.338,0.928,1.697,0.063
visibility(t),0.404,0.214,5.441,-8.984,1.698,0.17
apparentTemperature(t),2.262,1.409,4.71,0.901,2.292,0.068
pressure(t),1.76,1.105,0.109,0.789,0.055,0.102
windSpeed(t),0.835,0.489,inf,0.902,5.161,0.061
windBearing(t),23.462,13.491,inf,0.891,8.15,0.074
precipIntensity(t),0.004,0.002,inf,-24.556,85.883,inf
dewPoint(t),2.137,1.314,5.76,0.849,2.854,0.093
precipProbability(t),0.043,0.022,inf,-6.308,85.073,inf
