variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use [kW](t),0.389,0.191,96.177,0.667,12.12,0.059,0.221,0.116,116.906,0.267,3.939,0.022
gen [kW](t),0.035,0.019,inf,0.888,36.83,0.072,0.016,0.01,,0.122,7.14,0.031
Dishwasher [kW](t),0.068,0.021,inf,-105594.125,94.011,9.383,0.03,0.014,,578367.267,2.333,51.111
Furnace 1 [kW](t),0.069,0.033,70.617,0.68,20.516,0.085,0.043,0.03,69.633,0.248,10.641,0.053
Furnace 2 [kW](t),0.068,0.035,29.013,-0.678,11.032,0.132,0.058,0.036,30.047,7.693,9.755,0.108
Home office [kW](t),0.024,0.012,17.247,-0.367,8.189,0.086,0.012,0.006,10.165,6.012,3.776,0.225
Fridge [kW](t),0.027,0.013,111.447,0.854,25.063,0.05,0.007,0.005,81.612,0.138,6.305,0.033
Wine cellar [kW](t),0.014,0.006,37.126,0.909,14.717,0.074,0.012,0.003,22.119,0.119,7.124,0.044
Garage door [kW](t),0.012,0.002,7.696,-0.168,3.332,0.064,0.014,0.001,6.383,2.294,1.345,0.16
Kitchen 12 [kW](t),0.007,0.002,inf,-239.627,37.468,0.475,0.011,0.003,,1119.502,23.473,1.133
Kitchen 14 [kW](t),0.055,0.011,inf,-229.17,93.767,0.213,0.017,0.006,,1257.284,1.976,0.967
Kitchen 38 [kW](t),0.0,0.0,inf,0.003,66.003,0.0,0.0,0.0,,0.022,4.676,0.0
Barn [kW](t),0.123,0.025,inf,0.038,16.784,0.045,0.109,0.019,,1.098,9.857,0.024
Well [kW](t),0.111,0.02,inf,-139.306,75.124,0.197,0.031,0.008,,764.376,6.631,0.689
Microwave [kW](t),0.072,0.012,inf,-1.495,45.762,0.073,0.024,0.004,,9.816,14.969,0.172
Living room [kW](t),0.024,0.01,inf,-170.768,58.648,0.376,0.018,0.008,,940.258,7.079,1.673
Solar [kW](t),0.034,0.018,inf,0.89,36.528,0.071,0.016,0.01,,0.127,7.666,0.031
temperature(t),2.112,1.279,3.236,0.897,1.633,0.068,1.987,1.055,3.689,0.165,1.852,0.046
humidity(t),0.034,0.022,3.571,0.922,1.795,0.066,0.03,0.018,2.455,0.186,1.346,0.063
visibility(t),0.405,0.219,5.474,-7.158,1.804,0.167,0.564,0.275,11.276,33.444,2.39,0.314
apparentTemperature(t),2.432,1.512,5.303,0.876,2.549,0.074,2.601,1.489,7.218,0.211,3.374,0.057
pressure(t),1.756,1.094,0.108,0.807,0.054,0.103,1.859,1.088,0.109,0.31,0.054,0.069
windSpeed(t),0.938,0.517,inf,0.859,5.316,0.066,0.929,0.422,,0.298,3.241,0.051
windBearing(t),21.636,12.405,inf,0.925,7.708,0.067,11.089,7.104,,0.098,6.233,0.038
precipIntensity(t),0.004,0.002,inf,-45.896,85.931,inf,0.007,0.002,,230.271,13.124,
dewPoint(t),2.251,1.42,6.473,0.817,3.127,0.101,2.915,1.595,9.622,0.227,4.398,0.068
precipProbability(t),0.044,0.022,inf,-7.955,85.216,inf,0.07,0.036,,29.4,13.977,
