variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),22.189,12.909,29.988,0.862,11.019,0.077
PM10(t),36.654,22.119,36.838,0.753,13.199,0.096
SO2(t),32.674,16.094,255.995,-80.739,12.304,0.42
NO2(t),13.394,9.047,23.391,0.793,9.141,0.094
CO(t),379.276,234.578,24.36,0.782,9.825,0.094
O3(t),953.556,264.083,442.185,-49.525,20.947,0.473
TEMP(t),204.097,146.361,inf,-36343.116,18.532,7.474
PRES(t),1.056,0.725,0.072,0.927,0.036,0.054
DEWP(t),1.784,1.193,inf,0.855,10.39,0.081
RAIN(t),0.504,0.111,,-0.19,,
WSPM(t),0.757,0.563,inf,0.486,20.411,0.136
