variable,rmse,mae,mape,r2,smape,nrmse
PM10.8(t),24541.332,3003.378,4228.54,-4654644.759,27.184,102.396
SO2.8(t),2011.833,233.379,4135.431,-2957971.052,34.608,69.477
NO2.8(t),6632.098,850.378,1725.649,-2187363.633,22.582,64.888
CO.8(t),11530.966,2176.074,291.474,-7185.948,21.581,5.684
O3.8(t),9158.85,1137.853,15177.02,-8304871.26,29.491,140.712
TEMP.8(t),2159119.173,231531.095,inf,-19277196.997,25.339,161.105
PRES.8(t),1117.279,115.653,11.424,-3225949.186,0.301,83.969
DEWP.8(t),1710.192,188.893,inf,-3934751.505,12.084,95.168
RAIN.8(t),206.295,22.957,,-22595020.394,,
WSPM.8(t),430.109,42.298,inf,-5347938.651,28.158,90.432
PM2.5.9(t),4751.389,602.631,1772.483,-140880.257,25.797,19.343
PM10.9(t),21771.421,2692.739,2831.849,-3024086.207,24.352,74.105
SO2.9(t),1471.592,200.575,8473.895,-6788024.57,35.311,100.033
NO2.9(t),6490.105,584.453,1105.012,-2322430.501,17.11,47.104
CO.9(t),427108.624,50740.6,2175.849,-11296571.225,19.207,152.372
O3.9(t),10556.389,1040.017,16673.695,-19109728.031,32.297,230.699
TEMP.9(t),3476053.236,325404.674,inf,-38125770.275,25.393,252.184
PRES.9(t),3031.568,347.551,10.746,-231.89,0.331,0.849
DEWP.9(t),1523.491,157.771,inf,-3407064.378,12.312,87.159
RAIN.9(t),395.056,44.162,,-155426464.248,,
WSPM.9(t),527.944,63.709,inf,-10029057.38,24.325,116.473
PM2.5.10(t),17366.53,2086.915,3367.922,-1896456.063,25.826,69.662
PM10.10(t),16159.268,2019.052,1926.404,-1422480.498,24.35,64.347
SO2.10(t),12595.259,2572.722,18468.375,-21324869.251,31.012,165.624
NO2.10(t),20313.593,4609.949,16740.595,-1981041.017,21.296,56.683
CO.10(t),52472.127,5851.927,625.937,-203307.875,19.524,22.909
O3.10(t),10516.488,1353.71,52687.021,-20382801.056,37.886,221.561
TEMP.10(t),3475677.698,325360.294,inf,-38114397.702,25.747,252.26
PRES.10(t),3247.318,423.299,18.245,-214.898,0.326,0.82
DEWP.10(t),1671.781,199.967,inf,-4584241.145,12.603,93.608
RAIN.10(t),151.341,17.531,inf,-20284948.199,98.516,inf
WSPM.10(t),1912.925,218.102,inf,-313563895.012,29.716,657.598
PM2.5.11(t),5386.611,617.451,1912.063,-172411.992,27.924,22.682
PM10.11(t),11683.174,1201.38,2063.007,-890054.419,25.151,50.435
SO2.11(t),1982.564,263.444,9579.878,-17522821.926,29.952,152.021
NO2.11(t),7342.677,882.45,1489.414,-2852873.48,16.927,57.246
CO.11(t),181436.929,21956.397,1921.042,-2221705.893,18.88,66.644
O3.11(t),1073.564,160.319,3848.923,-123967.055,30.386,18.952
TEMP.11(t),3476048.891,325403.131,inf,-38125312.036,25.433,251.944
PRES.11(t),3030.123,347.237,10.717,-200.828,0.325,0.788
DEWP.11(t),1530.579,159.965,inf,-3407256.242,12.617,87.454
RAIN.11(t),395.03,44.144,,-155251136.062,,
WSPM.11(t),525.6,63.465,inf,-10029294.582,26.039,116.622
