variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
TEMP.4(t),3476058.092,325405.231,inf,-38126066.457,25.439,252.41,19038171.631,1781634.608,,208808812.426,29.753,1362.232
PRES.4(t),3030.99,347.345,10.727,-214.898,0.326,0.821,16489.807,1868.296,55.421,1178.798,1.093,3.79
DEWP.4(t),1526.364,158.759,inf,-3407256.392,12.709,87.378,8215.341,831.907,,18659343.664,11.177,472.185
RAIN.4(t),394.438,44.069,,-155251136.048,,,2152.979,238.661,,850345425.12,,
WSPM.4(t),525.602,63.3,inf,-10028840.194,26.476,116.096,2816.414,327.12,,54918870.602,7.929,625.946
PM2.5.5(t),25563.446,2771.589,4345.405,-2904410.103,25.695,78.023,137758.725,14503.106,19904.236,15902700.849,8.932,417.391
PM10.5(t),42317.757,4999.708,4046.658,-7771405.99,24.16,128.419,229246.481,26612.044,20063.121,42561045.211,7.38,694.661
SO2.5(t),870.351,121.665,5139.181,-129369965.943,27.501,260.754,4266.917,514.717,25204.374,708583669.11,12.351,1420.556
NO2.5(t),10224.797,1025.404,1673.274,-5350126.69,19.46,99.202,55120.149,5339.52,8060.605,29300140.851,6.111,535.156
CO.5(t),228835.602,25109.034,2326.732,-4574290.005,18.671,88.358,1232615.726,131013.958,11468.469,25047065.652,8.149,474.055
O3.5(t),12035.821,1431.457,37118.269,-32870574.574,29.766,242.755,62384.871,6856.277,201721.448,180039489.234,12.742,1328.046
TEMP.5(t),1832194.136,178123.706,inf,-18920907.353,25.287,150.671,10034515.982,975085.381,,103625557.336,30.223,810.731
PRES.5(t),272.976,31.727,3.155,-110600.373,0.297,16.803,1387.129,142.096,14.144,604538.977,1.06,87.474
DEWP.5(t),2109.411,255.228,inf,-7733937.352,12.107,125.89,11418.645,1359.513,,42358450.572,11.038,683.811
RAIN.5(t),113.021,13.28,,-13893179.299,,,579.918,64.539,,76095945.291,,
WSPM.5(t),901.251,108.66,inf,-48396183.726,30.974,263.819,4886.02,581.503,,265069896.837,9.028,1437.269
PM2.5.6(t),18741.385,2245.297,4260.891,-1904788.494,28.93,65.689,99146.474,11362.229,16753.925,10415052.371,9.858,345.448
PM10.6(t),30390.795,3748.466,5074.708,-4354804.26,30.072,97.439,161521.306,19176.477,22159.38,23828813.605,9.864,517.693
SO2.6(t),2871.128,349.717,9655.93,-18216199.38,33.972,174.86,14130.468,1509.928,44040.804,99733576.067,10.434,939.451
NO2.6(t),7668.747,923.626,2750.521,-3667607.042,25.973,77.802,40304.973,4582.781,11251.142,20057022.28,8.305,407.123
CO.6(t),252474.549,27220.167,3652.826,-4171119.194,20.257,111.106,1339692.272,137639.014,16445.562,22771677.479,8.194,582.491
O3.6(t),16502.54,1730.612,29743.411,-20978725.523,27.809,217.089,87843.115,8920.061,161264.818,114905201.926,14.312,1187.783
TEMP.6(t),3094291.38,356591.777,inf,-83234727.681,26.083,224.827,16947133.267,1952462.524,,455884572.591,29.606,1216.927
PRES.6(t),1214.279,141.415,14.047,-3817781.408,0.3,89.996,6541.816,740.725,73.585,20909551.169,1.057,488.278
DEWP.6(t),2398.618,264.734,inf,-8132124.051,12.272,120.795,13002.215,1411.486,,44539393.683,11.145,656.729
RAIN.6(t),1702.721,173.495,,-874134477.851,,,9319.764,948.067,,4787826386.932,,
WSPM.6(t),1632.519,195.738,inf,-88367984.041,27.382,235.981,8868.219,1050.081,,484003462.988,6.54,1285.344
PM2.5.7(t),10843.504,1364.766,2022.877,-813723.41,27.587,44.169,57099.326,6797.715,7622.62,4447823.859,10.869,232.118
PM10.7(t),27813.277,2735.592,2245.666,-4167067.005,24.229,108.423,149117.507,14035.044,9729.102,22813714.616,8.679,582.521
SO2.7(t),1818.554,247.18,6432.673,-9745625.149,29.52,117.256,8848.293,1059.29,29609.853,53357685.54,12.161,630.335
NO2.7(t),3789.586,472.939,821.437,-1126449.789,16.627,34.927,19689.717,2287.812,3454.118,6164764.533,8.185,182.332
CO.7(t),132038.427,16509.781,1365.42,-893257.199,20.365,46.009,693729.772,82038.039,5864.525,4878600.353,9.013,239.275
O3.7(t),10316.878,1079.007,49865.755,-19950509.236,29.527,226.802,54533.806,5372.968,268635.782,109273273.598,13.349,1240.31
TEMP.7(t),3476053.236,325404.674,inf,-38125770.275,25.393,252.184,19038172.548,1781634.713,,208808868.311,29.932,1362.268
PRES.7(t),3031.568,347.551,10.746,-231.89,0.331,0.849,16489.718,1868.279,55.424,1271.796,1.134,3.961
DEWP.7(t),1523.491,157.771,inf,-3407064.378,12.312,87.159,8215.633,831.916,,18659379.798,9.821,472.214
RAIN.7(t),395.056,44.162,,-155426464.248,,,2152.866,238.645,,850312852.513,,
WSPM.7(t),527.944,63.709,inf,-10029057.38,24.325,116.473,2816.193,327.131,,54918829.829,5.274,625.904
PM2.5.8(t),22250.347,2591.864,3980.28,-4669433.088,28.922,98.713,118879.477,13346.081,16315.932,25564124.779,10.384,528.38
PM10.8(t),24541.332,3003.378,4228.54,-4654644.759,27.184,102.396,130680.752,15330.532,16152.004,25476908.691,8.525,546.81
SO2.8(t),2011.833,233.379,4135.431,-2957971.052,34.608,69.477,10342.507,1082.983,17791.501,16190450.762,10.538,369.291
