variable,rmse,mae,mape,r2,smape,nrmse
PRES.9(t),3031.568,347.551,10.746,-231.89,347.551,-231.89
DEWP.9(t),1523.491,157.771,inf,-3407064.378,157.771,-3407064.378
RAIN.9(t),395.056,44.162,,-155426464.248,44.162,-155426464.248
WSPM.9(t),527.944,63.709,inf,-10029057.38,63.709,-10029057.38
PM2.5.10(t),17366.53,2086.915,3367.922,-1896456.063,2086.915,-1896456.063
PM10.10(t),16159.268,2019.052,1926.404,-1422480.498,2019.052,-1422480.498
SO2.10(t),12595.259,2572.722,18468.375,-21324869.251,2572.722,-21324869.251
NO2.10(t),20313.593,4609.949,16740.595,-1981041.017,4609.949,-1981041.017
CO.10(t),52472.127,5851.927,625.937,-203307.875,5851.927,-203307.875
O3.10(t),10516.488,1353.71,52687.021,-20382801.056,1353.71,-20382801.056
TEMP.10(t),3475677.698,325360.294,inf,-38114397.702,325360.294,-38114397.702
PRES.10(t),3247.318,423.299,18.245,-214.898,423.299,-214.898
DEWP.10(t),1671.781,199.967,inf,-4584241.145,199.967,-4584241.145
RAIN.10(t),151.341,17.531,inf,-20284948.199,17.531,-20284948.199
WSPM.10(t),1912.925,218.102,inf,-313563895.012,218.102,-313563895.012
PM2.5.11(t),5386.611,617.451,1912.063,-172411.992,617.451,-172411.992
PM10.11(t),11683.174,1201.38,2063.007,-890054.419,1201.38,-890054.419
SO2.11(t),1982.564,263.444,9579.878,-17522821.926,263.444,-17522821.926
NO2.11(t),7342.677,882.45,1489.414,-2852873.48,882.45,-2852873.48
CO.11(t),181436.929,21956.397,1921.042,-2221705.893,21956.397,-2221705.893
O3.11(t),1073.564,160.319,3848.923,-123967.055,160.319,-123967.055
TEMP.11(t),3476048.891,325403.131,inf,-38125312.036,325403.131,-38125312.036
PRES.11(t),3030.123,347.237,10.717,-200.828,347.237,-200.828
DEWP.11(t),1530.579,159.965,inf,-3407256.242,159.965,-3407256.242
RAIN.11(t),395.03,44.144,,-155251136.062,44.144,-155251136.062
WSPM.11(t),525.6,63.465,inf,-10029294.582,63.465,-10029294.582
