variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),31.727,21.769,51.855,0.673,20.453,0.13
PM10(t),40.909,28.381,46.954,0.583,18.826,0.139
SO2(t),9.409,6.58,64.939,0.323,22.911,0.161
NO2(t),19.53,14.989,40.017,0.408,15.212,0.164
CO(t),557.264,375.194,35.835,0.503,15.396,0.154
O3(t),291.991,48.762,144.475,0.541,26.527,0.158
TEMP(t),189.293,101.801,inf,-12.148,26.451,0.366
PRES(t),2830.773,239.34,0.219,0.631,0.121,0.127
DEWP(t),3.111,2.502,inf,0.574,18.011,0.155
RAIN(t),0.26,0.083,inf,-1.355,98.617,
WSPM(t),0.834,0.628,inf,0.369,21.677,0.16
PM2.5.1(t),32.204,23.479,66.686,0.516,24.829,0.166
PM10.1(t),38.524,28.563,59.371,0.43,21.07,0.154
SO2.1(t),8.884,6.105,75.953,0.277,24.694,0.168
NO2.1(t),18.044,13.985,52.135,0.316,18.483,0.178
CO.1(t),564.219,395.719,49.963,0.281,19.038,0.177
O3.1(t),283.852,52.308,130.343,0.396,25.488,0.174
TEMP.1(t),147.175,93.038,inf,-9.174,26.99,0.324
PRES.1(t),2.472,1.954,0.193,0.636,0.097,0.133
DEWP.1(t),3.247,2.629,inf,0.486,18.204,0.171
RAIN.1(t),0.365,0.101,inf,-0.422,98.668,
WSPM.1(t),0.943,0.685,inf,0.303,19.17,0.167
PM2.5.2(t),29.973,22.146,86.814,0.544,27.822,0.17
PM10.2(t),36.407,26.891,79.139,0.413,24.146,0.167
SO2.2(t),7.974,5.694,72.019,0.076,26.341,0.188
NO2.2(t),14.207,10.754,93.236,0.085,27.461,0.198
CO.2(t),458.473,323.717,50.614,0.378,19.987,0.174
O3.2(t),322.913,54.907,116.827,0.193,21.806,0.183
TEMP.2(t),143.456,86.133,inf,-13.084,27.213,0.341
PRES.2(t),3984.049,474.541,0.245,0.604,0.146,0.134
DEWP.2(t),3.224,2.609,inf,0.496,18.192,0.169
RAIN.2(t),0.367,0.103,inf,-0.319,98.707,
WSPM.2(t),0.946,0.692,inf,0.301,19.31,0.168
PM2.5.3(t),32.22,22.456,59.312,0.69,21.332,0.128
PM10.3(t),42.563,29.639,53.139,0.586,18.617,0.136
