variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),35.039,23.5,47.493,0.689,18.936,0.126,19.621,12.219,21.728,0.228,7.599,0.046
PM10(t),49.601,33.26,49.617,0.61,18.447,0.131,26.086,15.142,25.598,0.251,5.347,0.039
SO2(t),8.339,5.758,63.337,0.334,21.618,0.15,6.771,4.27,29.48,0.499,6.292,0.046
NO2(t),19.547,14.545,34.33,0.563,13.886,0.142,7.455,5.2,17.802,0.271,4.067,0.04
CO(t),508.909,346.625,35.378,0.48,14.594,0.144,264.767,172.284,18.86,0.453,4.795,0.054
O3(t),353.085,64.803,192.464,0.612,28.669,0.151,1801.566,257.686,206.764,0.255,11.878,0.053
TEMP(t),401.578,178.606,inf,-1265.827,24.95,1.966,1641.238,647.004,,6625.944,29.211,8.206
PRES(t),56.043,46.201,4.535,-1112.65,1.617,1.678,293.04,242.688,23.82,6097.442,8.347,8.458
DEWP(t),3.157,2.453,inf,0.536,19.408,0.153,2.498,1.927,,0.431,18.24,0.074
RAIN(t),0.435,0.102,inf,-2.293,98.494,,0.774,0.128,,7.461,2.805,
WSPM(t),0.787,0.603,inf,0.348,22.712,0.149,0.145,0.109,,0.208,8.167,0.028
PM2.5.1(t),31.084,21.158,52.513,0.692,20.07,0.124,16.886,11.037,24.13,0.227,8.5,0.038
PM10.1(t),44.708,30.258,53.437,0.605,18.968,0.129,26.6,14.774,18.523,0.212,4.197,0.028
SO2.1(t),7.881,5.233,70.983,0.212,22.963,0.159,6.222,4.286,56.393,0.898,8.171,0.064
NO2.1(t),17.441,13.16,45.151,0.363,16.751,0.16,4.968,3.826,27.939,0.301,5.18,0.034
CO.1(t),491.245,335.214,37.505,0.483,15.796,0.143,296.122,186.528,15.392,0.344,5.557,0.037
O3.1(t),385.652,85.031,108.603,0.559,25.514,0.155,1982.406,368.301,71.776,0.228,10.205,0.048
TEMP.1(t),293.749,112.681,inf,-1192.028,24.392,1.727,1110.401,357.485,,6421.258,29.158,7.642
PRES.1(t),2.563,1.901,0.188,0.57,0.094,0.135,2.034,1.518,0.149,0.585,0.075,0.082
DEWP.1(t),3.342,2.6,inf,0.525,21.133,0.161,2.528,1.999,,0.408,19.371,0.071
RAIN.1(t),0.346,0.095,inf,-0.725,98.526,,0.523,0.116,,3.037,3.273,
WSPM.1(t),0.883,0.642,inf,0.343,18.762,0.148,0.259,0.18,,0.188,3.915,0.02
PM2.5.2(t),30.871,20.943,67.838,0.687,22.577,0.128,15.547,10.454,28.287,0.239,7.822,0.038
PM10.2(t),42.905,28.565,66.677,0.583,21.35,0.136,25.378,13.828,33.514,0.265,5.757,0.034
SO2.2(t),6.64,4.497,72.812,0.323,23.769,0.149,4.521,3.044,43.106,0.442,8.26,0.043
NO2.2(t),13.541,9.826,81.675,0.405,23.261,0.157,5.764,4.078,45.842,0.303,6.281,0.03
CO.2(t),411.18,288.087,47.766,0.473,18.343,0.149,230.149,163.481,29.138,0.404,6.586,0.042
O3.2(t),494.658,112.917,87.116,0.531,21.583,0.152,2569.701,512.108,67.824,0.301,10.392,0.038
TEMP.2(t),288.272,108.938,inf,-811.235,24.529,1.443,1108.513,353.147,,4377.374,29.136,6.3
PRES.2(t),147.358,111.514,11.034,-8045.258,2.25,4.331,793.593,600.685,59.438,44068.83,11.823,22.991
DEWP.2(t),3.358,2.624,inf,0.535,21.47,0.16,2.576,2.031,,0.387,19.343,0.069
RAIN.2(t),0.342,0.09,inf,-0.566,98.465,,0.523,0.113,,2.342,3.319,
WSPM.2(t),0.887,0.648,inf,0.34,18.837,0.149,0.262,0.186,,0.185,4.023,0.02
PM2.5.3(t),37.113,25.28,59.083,0.658,20.381,0.136,18.142,11.046,34.369,0.263,7.441,0.05
PM10.3(t),50.606,33.683,55.738,0.612,18.969,0.131,23.15,13.714,32.088,0.227,5.702,0.037
SO2.3(t),8.834,6.017,63.313,0.362,22.042,0.151,6.352,4.128,35.703,0.576,8.817,0.058
NO2.3(t),17.382,12.821,33.31,0.588,13.446,0.137,6.999,4.772,15.789,0.324,4.121,0.051
CO.3(t),525.487,366.715,37.0,0.448,14.695,0.153,236.419,169.251,28.731,0.4,5.085,0.05
O3.3(t),109.8,27.052,118.202,0.611,25.303,0.146,442.506,48.464,115.423,0.293,10.822,0.055
TEMP.3(t),400.284,176.933,inf,-1144.14,25.69,1.905,1640.625,645.794,,5935.564,29.852,7.802
PRES.3(t),43.668,36.977,3.625,-657.678,1.835,1.323,225.231,192.097,18.826,3605.352,9.536,6.498
