variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),32.059,21.344,45.387,0.741,17.291,0.116
PM10(t),46.95,30.983,45.284,0.649,17.277,0.124
SO2(t),7.809,5.287,59.065,0.362,20.644,0.142
NO2(t),18.194,13.495,32.283,0.618,13.044,0.133
CO(t),464.582,315.534,32.815,0.555,13.507,0.132
O3(t),352.182,63.68,180.984,0.638,27.804,0.144
TEMP(t),399.811,178.409,inf,-1325.702,24.204,1.93
PRES(t),80.616,57.591,5.65,-2377.275,1.943,2.385
DEWP(t),2.911,2.208,inf,0.61,17.978,0.14
RAIN(t),0.43,0.102,inf,-1.651,98.334,
WSPM(t),0.769,0.589,inf,0.377,22.525,0.146
PM2.5.1(t),29.934,20.201,50.517,0.723,18.736,0.119
PM10.1(t),41.94,27.751,49.719,0.654,17.597,0.121
SO2.1(t),7.335,4.867,65.744,0.362,22.399,0.148
NO2.1(t),16.297,12.207,41.795,0.442,15.626,0.149
CO.1(t),459.674,309.487,35.424,0.536,14.665,0.135
O3.1(t),383.635,83.385,104.076,0.612,23.577,0.143
TEMP.1(t),297.538,117.738,inf,-1793.921,24.149,2.013
PRES.1(t),2.267,1.673,0.166,0.65,0.083,0.12
DEWP.1(t),3.106,2.358,inf,0.605,19.636,0.146
RAIN.1(t),0.345,0.097,inf,-0.657,98.444,
WSPM.1(t),0.853,0.621,inf,0.384,18.397,0.144
PM2.5.2(t),29.365,19.884,65.359,0.727,21.769,0.122
PM10.2(t),39.28,25.594,62.246,0.66,19.683,0.124
SO2.2(t),5.95,3.991,63.952,0.462,22.642,0.134
NO2.2(t),12.258,8.814,76.26,0.5,21.668,0.143
CO.2(t),395.353,276.486,45.722,0.526,17.378,0.14
O3.2(t),492.247,110.789,89.968,0.594,20.206,0.142
TEMP.2(t),294.219,114.759,inf,-1273.592,24.016,1.759
PRES.2(t),146.629,119.419,11.807,-7977.2,2.128,4.307
DEWP.2(t),3.032,2.307,inf,0.624,19.308,0.143
RAIN.2(t),0.352,0.101,inf,-0.901,98.393,
WSPM.2(t),0.857,0.624,inf,0.379,18.459,0.144
PM2.5.3(t),35.04,23.562,59.002,0.704,18.745,0.127
PM10.3(t),47.26,31.012,51.87,0.657,17.569,0.122
SO2.3(t),8.246,5.482,57.567,0.434,20.428,0.14
NO2.3(t),16.095,11.835,30.85,0.643,12.565,0.128
CO.3(t),486.758,337.839,34.89,0.542,13.634,0.14
O3.3(t),108.513,25.846,109.456,0.649,24.386,0.137
TEMP.3(t),402.629,180.966,inf,-1521.845,25.072,2.108
PRES.3(t),77.052,59.084,5.821,-2168.045,2.193,2.284
DEWP.3(t),2.946,2.254,inf,0.631,19.039,0.139
RAIN.3(t),0.447,0.098,inf,-5.262,98.375,inf
WSPM.3(t),0.81,0.601,inf,0.396,19.333,0.133
PM2.5.4(t),33.07,22.186,48.835,0.706,17.161,0.124
PM10.4(t),43.229,28.73,43.387,0.671,16.268,0.122
SO2.4(t),9.243,5.699,71.503,0.144,22.428,0.152
NO2.4(t),334.455,52.3,34.353,0.595,12.755,0.129
CO.4(t),431.826,305.426,33.881,0.605,13.517,0.136
O3.4(t),286.325,47.297,190.829,0.638,27.271,0.142
TEMP.4(t),404.529,182.086,inf,-1690.064,24.655,2.186
PRES.4(t),100.793,78.661,7.731,-3755.252,1.947,2.97
DEWP.4(t),2.946,2.244,inf,0.604,18.34,0.142
RAIN.4(t),0.427,0.097,inf,-1.941,98.284,
WSPM.4(t),0.763,0.583,inf,0.395,22.251,0.144
PM2.5.5(t),37.241,25.175,58.555,0.66,19.653,0.131
PM10.5(t),51.956,36.633,60.298,0.593,18.851,0.135
SO2.5(t),8.545,5.638,67.327,-0.152,21.835,0.171
NO2.5(t),19.352,14.328,44.866,0.551,15.592,0.14
CO.5(t),520.334,375.933,38.69,0.433,15.373,0.164
O3.5(t),495.102,98.747,113.728,0.547,25.419,0.147
TEMP.5(t),349.901,149.302,inf,-1202.531,24.492,1.654
PRES.5(t),2.267,1.688,0.167,0.691,0.083,0.117
DEWP.5(t),2.905,2.227,inf,0.628,19.558,0.138
RAIN.5(t),0.407,0.115,inf,-3.192,98.396,
WSPM.5(t),0.711,0.532,inf,0.413,25.861,0.152
