variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
SO2.7(t),10.93,7.53,78.053,0.305,25.93,0.166,11.238,7.399,47.884,0.342,6.931,0.05
NO2.7(t),20.437,15.474,40.861,0.467,15.624,0.165,8.199,6.526,21.246,0.274,3.857,0.045
CO.7(t),671.96,450.693,48.468,0.265,18.423,0.184,485.718,284.578,24.953,0.54,6.589,0.057
O3.7(t),210.986,35.507,174.15,0.382,28.857,0.18,1011.757,85.318,142.636,0.686,11.772,0.08
TEMP.7(t),212.405,141.071,inf,-108.385,27.845,0.845,762.209,494.654,,413.715,30.741,2.573
PRES.7(t),2831.396,239.699,0.254,0.425,0.139,0.159,15490.951,1299.812,0.254,0.662,0.166,0.098
DEWP.7(t),3.974,3.125,inf,0.314,20.194,0.19,4.573,3.976,,0.837,19.183,0.116
RAIN.7(t),0.335,0.168,,-9.407,,,0.578,0.22,,33.675,,
WSPM.7(t),1.075,0.83,inf,-0.02,24.397,0.194,0.283,0.198,,0.505,3.445,0.042
PM2.5.8(t),38.444,28.002,105.641,0.378,26.269,0.168,23.038,15.711,57.415,0.689,7.182,0.055
PM10.8(t),47.06,34.153,95.861,0.327,24.61,0.176,24.48,16.109,58.417,0.55,7.061,0.05
SO2.8(t),10.059,6.982,101.007,-0.202,31.128,0.196,10.055,6.772,64.732,1.602,9.056,0.072
NO2.8(t),199.829,159.485,893.646,-2068.56,22.645,1.776,988.862,792.841,4615.172,11331.919,14.856,8.749
CO.8(t),676.36,469.925,57.764,0.191,21.678,0.196,425.392,279.426,29.878,0.462,6.604,0.056
O3.8(t),272.71,55.0,207.161,0.423,28.941,0.185,1351.664,192.054,187.956,0.405,11.907,0.062
TEMP.8(t),198.144,133.386,inf,-1348.621,27.967,1.841,654.537,426.414,,7292.038,30.883,8.06
PRES.8(t),3.121,2.385,0.234,0.475,0.117,0.16,2.798,2.406,0.234,0.648,0.118,0.098
DEWP.8(t),3.878,3.031,inf,0.298,19.57,0.189,4.318,3.733,,0.793,18.47,0.111
RAIN.8(t),0.412,0.164,,-2.298,,,0.642,0.213,,8.3,,
WSPM.8(t),1.169,0.893,inf,-0.107,26.552,0.199,0.31,0.23,,0.64,5.779,0.05
PM2.5.9(t),35.397,25.33,91.75,0.544,22.768,0.152,21.759,15.954,59.768,0.319,7.471,0.05
PM10.9(t),46.637,33.586,70.406,0.38,21.096,0.16,25.462,18.418,43.7,0.361,7.361,0.046
SO2.9(t),10.232,6.924,99.391,0.081,31.239,0.182,8.611,5.38,46.97,0.564,7.869,0.062
NO2.9(t),18.725,14.09,37.14,0.397,14.791,0.169,8.471,6.138,15.091,0.292,3.991,0.041
CO.9(t),599.045,396.474,42.937,0.328,16.514,0.163,460.491,257.756,20.884,0.454,5.683,0.047
O3.9(t),302.902,53.286,218.667,0.393,31.444,0.186,1509.576,178.35,230.297,0.597,12.481,0.077
TEMP.9(t),212.405,141.071,inf,-108.385,27.845,0.845,762.209,494.654,,413.715,30.741,2.573
PRES.9(t),2831.396,239.699,0.254,0.425,0.139,0.159,15490.951,1299.812,0.254,0.662,0.166,0.098
DEWP.9(t),3.974,3.125,inf,0.314,20.194,0.19,4.573,3.976,,0.837,19.183,0.116
RAIN.9(t),0.335,0.168,,-9.407,,,0.578,0.22,,33.675,,
WSPM.9(t),1.075,0.83,inf,-0.02,24.397,0.194,0.283,0.198,,0.505,3.445,0.042
PM2.5.10(t),36.082,25.756,89.865,0.545,22.758,0.155,25.556,18.357,59.367,0.368,7.638,0.058
PM10.10(t),46.371,34.056,70.339,0.391,21.702,0.172,25.186,17.378,30.711,0.408,6.191,0.045
SO2.10(t),340.543,206.352,810.704,0.132,27.06,0.176,1272.887,785.045,2846.649,0.789,19.808,0.074
NO2.10(t),1614.746,725.603,841.575,0.421,20.638,0.159,6141.7,2706.343,3584.106,0.389,20.789,0.044
CO.10(t),629.029,432.732,50.869,0.253,18.104,0.175,503.609,305.028,35.331,0.759,7.455,0.063
O3.10(t),425.55,73.425,461.564,-1.683,35.28,0.254,1498.051,189.765,999.475,11.386,15.646,0.419
TEMP.10(t),212.608,141.235,inf,-92.668,28.74,0.796,762.225,494.637,,353.971,30.437,2.383
PRES.10(t),2831.519,239.812,0.266,0.397,0.145,0.166,15490.949,1299.816,0.26,0.697,0.168,0.102
DEWP.10(t),4.025,3.2,inf,0.2,20.805,0.201,4.315,3.759,,0.823,20.18,0.113
RAIN.10(t),0.362,0.176,inf,-4.026,98.423,,0.598,0.251,,13.208,1.894,
WSPM.10(t),0.965,0.74,inf,-0.131,29.599,0.21,0.215,0.145,,0.483,6.525,0.031
PM2.5.11(t),39.551,28.432,106.527,0.503,24.947,0.158,25.064,17.196,73.479,0.401,8.626,0.059
PM10.11(t),50.019,36.761,88.285,0.417,22.151,0.164,30.046,22.085,69.41,0.327,7.053,0.041
SO2.11(t),11.117,7.526,81.359,0.043,28.07,0.18,12.066,7.744,45.748,0.87,9.021,0.062
NO2.11(t),19.162,14.627,44.039,0.487,16.024,0.162,9.814,7.504,21.443,0.269,4.862,0.043
CO.11(t),608.351,418.356,48.319,0.391,17.837,0.163,450.314,273.432,27.416,0.316,6.825,0.04
O3.11(t),258.141,39.107,255.871,0.36,29.641,0.185,1274.605,106.913,387.483,0.771,13.044,0.089
TEMP.11(t),212.443,141.122,inf,-108.383,28.005,0.845,762.198,494.639,,413.715,30.603,2.573
PRES.11(t),2831.484,239.766,0.261,0.414,0.143,0.163,15490.935,1299.8,0.255,0.66,0.166,0.099
DEWP.11(t),4.036,3.176,inf,0.276,20.507,0.19,4.463,3.904,,0.847,19.58,0.115
RAIN.11(t),0.386,0.195,,-5.548,,,0.627,0.288,,28.726,,
WSPM.11(t),1.045,0.807,inf,-0.067,25.233,0.201,0.221,0.16,,0.537,3.804,0.046
