variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),27.503,17.658,55.861,0.72,15.152,0.098,18.416,9.16,73.696,0.493,6.793,0.053
PM10(t),41.578,26.997,54.695,0.663,15.997,0.109,21.039,11.652,44.93,0.385,4.82,0.046
SO2(t),8.407,5.704,60.729,-0.085,16.022,0.121,15.084,11.447,140.782,4.608,12.094,0.175
NO2(t),14.412,10.213,27.8,0.758,10.649,0.103,4.203,2.641,14.926,0.097,3.455,0.025
CO(t),420.086,281.416,31.695,0.747,11.953,0.101,273.089,177.682,22.878,0.159,3.999,0.022
O3(t),927.262,261.878,181.716,0.646,26.755,0.122,3494.904,1046.764,312.074,0.669,13.001,0.083
TEMP(t),91.404,54.47,inf,-3252.774,20.205,2.56,303.332,198.91,,17171.238,27.324,10.769
PRES(t),21.1,14.599,1.429,-212.775,0.704,0.761,107.812,74.552,7.294,1170.142,3.59,3.765
DEWP(t),2.032,1.419,inf,0.799,12.128,0.092,1.345,0.867,,0.291,9.379,0.041
RAIN(t),0.47,0.097,inf,-0.116,98.201,,0.596,0.107,,1.051,2.049,
WSPM(t),0.772,0.576,inf,0.467,21.015,0.138,0.203,0.141,,0.14,7.667,0.021
