variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
TEMP.6(t),148.823,91.084,inf,-4.724,27.153,0.283,548.894,340.215,,19.949,28.503,0.491
PRES.6(t),2.488,1.961,0.194,0.613,0.097,0.135,1.939,1.701,0.166,0.426,0.084,0.074
DEWP.6(t),3.417,2.758,inf,0.46,18.157,0.165,3.422,3.049,,0.469,16.627,0.08
RAIN.6(t),0.402,0.119,inf,-0.704,98.706,inf,0.954,0.265,,3.26,1.439,
WSPM.6(t),0.935,0.672,inf,0.246,20.224,0.157,0.267,0.184,,0.19,2.443,0.026
PM2.5.7(t),32.714,23.022,62.473,0.657,22.746,0.132,20.66,13.226,28.423,0.229,7.077,0.041
PM10.7(t),40.376,28.723,50.682,0.566,19.684,0.14,22.487,13.808,15.271,0.263,5.103,0.036
SO2.7(t),9.946,6.904,68.231,0.432,24.051,0.146,11.048,7.388,49.5,0.41,7.886,0.054
NO2.7(t),19.448,14.728,38.927,0.466,14.741,0.161,6.485,4.877,19.504,0.368,3.364,0.056
CO.7(t),595.596,392.916,37.464,0.467,16.039,0.16,427.46,246.837,15.355,0.272,5.111,0.037
O3.7(t),207.761,33.172,122.791,0.562,25.759,0.156,1011.297,85.534,66.98,0.304,9.198,0.054
TEMP.7(t),189.217,99.85,inf,-6.617,26.193,0.318,704.819,367.992,,28.601,28.612,0.62
PRES.7(t),2830.718,239.268,0.212,0.644,0.118,0.126,15491.066,1299.941,0.202,0.356,0.149,0.067
DEWP.7(t),3.167,2.558,inf,0.581,17.723,0.155,3.193,2.817,,0.405,16.589,0.076
RAIN.7(t),0.263,0.087,inf,-2.106,98.705,,0.558,0.129,,8.318,1.898,
WSPM.7(t),0.863,0.632,inf,0.396,18.172,0.152,0.271,0.171,,0.189,2.924,0.022
PM2.5.8(t),37.182,26.252,78.003,0.493,25.006,0.159,24.746,15.018,32.704,0.37,6.483,0.037
PM10.8(t),43.425,31.377,76.416,0.456,23.274,0.16,25.83,15.088,28.095,0.382,5.363,0.041
SO2.8(t),9.364,6.362,78.472,0.25,26.11,0.172,9.606,6.576,54.3,0.469,10.726,0.071
NO2.8(t),38.547,32.461,132.834,-23.678,22.129,0.351,103.538,95.33,435.159,131.406,13.001,0.913
CO.8(t),635.177,430.195,45.327,0.334,19.216,0.181,412.098,262.826,17.514,0.262,5.135,0.042
O3.8(t),271.242,54.377,179.276,0.473,28.447,0.179,1350.391,191.823,128.548,0.319,11.166,0.057
TEMP.8(t),151.394,81.671,inf,-8.526,26.841,0.308,568.152,293.974,,45.311,29.152,0.639
PRES.8(t),2.554,2.012,0.198,0.647,0.099,0.133,2.069,1.813,0.176,0.368,0.089,0.074
DEWP.8(t),3.269,2.647,inf,0.529,18.631,0.161,3.162,2.806,,0.411,17.788,0.075
RAIN.8(t),0.365,0.099,inf,-0.182,98.767,,0.648,0.158,,0.783,1.55,
WSPM.8(t),0.983,0.718,inf,0.255,21.555,0.165,0.266,0.177,,0.315,5.335,0.031
PM2.5.9(t),30.486,21.062,57.757,0.681,20.714,0.129,18.975,12.378,27.044,0.181,6.702,0.038
PM10.9(t),40.242,28.108,51.568,0.542,18.221,0.138,20.964,14.132,21.873,0.27,5.238,0.036
SO2.9(t),9.53,6.478,82.369,0.327,27.118,0.158,8.758,5.923,44.211,0.341,7.313,0.05
