variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),31.79,21.714,58.729,0.653,21.047,0.132,20.462,12.576,33.328,0.242,7.171,0.047
PM10(t),39.048,26.716,46.073,0.626,17.366,0.132,21.371,12.075,16.984,0.187,4.629,0.029
SO2(t),8.778,6.078,59.006,0.409,21.634,0.151,9.813,6.461,30.492,0.436,7.361,0.043
NO2(t),17.657,13.265,36.965,0.548,14.303,0.15,4.833,3.722,15.292,0.294,4.025,0.039
CO(t),540.907,369.767,37.511,0.507,15.463,0.153,417.798,260.498,17.033,0.368,3.916,0.054
O3(t),291.379,48.209,157.952,0.566,26.568,0.153,1474.611,173.284,187.991,0.335,11.454,0.053
TEMP(t),188.007,97.901,inf,-9.402,26.298,0.332,702.962,357.715,,43.234,29.711,0.734
PRES(t),2830.649,239.214,0.207,0.656,0.115,0.121,15491.099,1299.927,0.207,0.374,0.15,0.07
DEWP(t),2.938,2.305,inf,0.626,16.526,0.144,3.029,2.657,,0.379,16.214,0.074
RAIN(t),0.266,0.088,inf,-1.483,98.602,,0.561,0.13,,5.751,2.027,
WSPM(t),0.796,0.594,inf,0.424,20.86,0.153,0.188,0.134,,0.176,7.082,0.021
PM2.5.1(t),29.591,21.157,61.684,0.601,22.554,0.15,17.459,12.231,24.627,0.243,7.512,0.051
PM10.1(t),35.75,25.921,53.914,0.507,19.448,0.142,13.761,9.544,24.581,0.387,5.541,0.049
SO2.1(t),8.249,5.659,76.722,0.335,24.76,0.16,8.92,6.267,78.189,0.324,9.908,0.048
NO2.1(t),16.997,12.989,47.666,0.378,17.343,0.168,4.892,3.841,23.411,0.287,4.969,0.031
CO.1(t),528.004,369.963,46.832,0.362,17.721,0.165,343.015,218.597,25.122,0.527,5.882,0.052
O3.1(t),282.475,51.231,125.084,0.455,25.257,0.165,1428.877,188.462,104.129,0.444,13.368,0.056
TEMP.1(t),149.527,92.132,inf,-30.021,26.592,0.428,544.747,335.965,,158.888,29.354,1.238
PRES.1(t),2.279,1.776,0.175,0.68,0.088,0.123,1.926,1.69,0.165,0.379,0.083,0.072
DEWP.1(t),3.088,2.424,inf,0.559,16.977,0.159,2.835,2.409,,0.343,16.486,0.066
