variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),27.293,17.001,57.315,0.664,14.626,0.099
PM10(t),41.209,25.999,54.374,0.631,15.233,0.108
SO2(t),8.338,5.468,70.873,-0.153,14.906,0.119
NO2(t),14.096,9.726,27.053,0.773,10.102,0.1
CO(t),399.334,260.375,29.851,0.725,11.221,0.098
O3(t),926.07,260.789,152.896,0.699,26.01,0.114
TEMP(t),89.906,56.078,inf,-3102.554,19.872,2.49
PRES(t),22.531,15.1,1.477,-243.57,0.691,0.813
DEWP(t),1.95,1.324,inf,0.808,11.274,0.087
RAIN(t),0.466,0.092,inf,-0.417,98.131,
WSPM(t),0.772,0.573,inf,0.472,20.984,0.138
